Dates	Time	Flow	pMeHg
10d	8s	6n	6n
2016-12-11	15:00	422	0.67
2016-12-16	12:40	3149	2.48
2016-12-17	11:40	780	0.56
2017-01-04	16:40	2125	1.29
2017-01-08	14:30	3804	2.16
2017-01-09	13:30	12186	2.35
2017-01-11	12:00	15909	1.48
2017-01-14	12:10	3549	0.70
2017-01-19	12:30	8944	1.76
2017-01-20	13:30	6681	1.40
2017-01-21	11:40	6705	1.03
2017-01-24	11:00	4889	0.75
2017-02-02	10:30	3191	0.54
2017-02-08	10:30	8559	1.27
2017-02-10	11:10	10802	1.25
2017-02-21	11:00	14070	1.61
2017-03-16	10:50	3001	0.39
2017-04-04	10:30	553	0.20
2017-04-26	10:30	358	0.26
2018-01-09	15:40	82	0.56
2018-01-10	9:20	41	0.15
2018-01-25	15:00	29	0.07
2018-02-12	13:30	9.4	0.02
2018-03-07	13:00	23	0.05
2018-03-23	10:55	930	1.51
2018-04-07	16:40	649	2.13
2018-04-08	11:00	752	0.78
