,Period,Ndays,Flux,Std.Err,SEP,L95,U95,,% std err of flux
1,WY 2017,365,0.002683384,0.000244095,0.000349462,0.002063675,0.003430999,,9.096534475
2,WY 2018,365,2.80E-05,1.32E-05,1.67E-05,8.18E-06,7.08E-05,,46.97686306
