"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2015",365,457245.497648135,62296.928746415,393999.393139048,80397.1213710268,1492407.39144181
"WY 2016",366,475851.379802958,60998.9359263279,184373.702294487,213181.131638295,923524.801537548
"WY 2017",365,4842078.33739766,780924.876807867,1854870.95800391,2189355.09411016,9338572.64874966
"WY 2018",365,181574.390527729,21764.2754063831,42094.0854594547,112960.767837122,276978.645814744
"WY 2019",365,2830005.46504677,443272.491303553,1315612.88175182,1078393.56993761,6106933.44020642
