Dates	Flow	SSC
10d	6n	6n
2014-10-28	4.000	25.000
2014-11-03	0.001	35.000
2014-11-07	6.000	41.000
2014-11-12	18.000	49.000
2014-11-13	21.000	36.000
2014-11-14	24.000	45.000
2014-11-19	22.000	34.000
2014-11-20	26.000	8.000
2014-11-21	27.000	30.000
2014-11-22	35.000	24.000
2014-11-23	30.000	3.000
2014-11-28	22.000	6.000
2014-11-29	27.000	125.000
2014-11-30	35.000	3.000
2014-12-01	44.000	10.000
2014-12-02	43.000	4.000
2014-12-03	646.000	58.286
2014-12-04	821.000	1084.000
2014-12-05	129.000	239.375
2014-12-06	337.000	208.000
2014-12-08	84.000	36.000
2014-12-10	54.000	8.000
2014-12-11	8796.000	6153.333
2014-12-12	3067.000	2027.778
2014-12-13	1098.000	413.500
2014-12-14	669.000	127.333
2014-12-18	1205.000	197.000
2014-12-19	1946.000	1206.333
2014-12-20	1382.000	1020.000
2014-12-31	319.000	6.000
2015-01-05	268.000	5.000
2015-01-11	236.000	5.000
2015-01-13	225.000	10.000
2015-01-16	219.000	13.000
2015-01-22	207.000	3.000
2015-01-29	192.000	2.000
2015-02-04	185.000	3.000
2015-02-05	183.000	5.000
2015-02-06	856.000	330.667
2015-02-07	4047.000	2330.000
2015-02-08	1611.000	2590.000
2015-02-09	1824.000	835.571
2015-02-10	985.000	246.333
2015-02-14	402.000	13.000
2015-02-20	284.000	9.500
2015-02-26	235.000	5.000
2015-03-04	207.000	6.000
2015-03-09	192.000	3.000
2015-03-15	180.000	4.000
2015-03-20	165.000	4.000
2015-03-24	170.000	3.000
2015-03-26	159.000	16.000
2015-04-01	143.000	3.000
2015-04-05	144.000	7.000
2015-04-07	175.000	5.000
2015-04-08	187.000	4.000
2015-04-13	140.000	5.000
2015-04-19	125.000	4.000
2015-04-24	124.000	5.000
2015-04-30	120.000	7.000
2015-05-06	690.000	62.000
2015-05-22	715.000	67.000
2015-06-01	652.000	38.000
2015-10-01	3.270	34.000
2015-10-15	9.970	31.000
2015-11-17	14.500	20.000
2015-12-10	20.300	7.000
2015-12-19	18.500	104.000
2015-12-21	29.900	33.000
2015-12-22	265.000	643.500
2015-12-23	201.000	393.143
2016-01-05	171.000	407.000
2016-01-06	510.000	1097.571
2016-01-07	403.000	694.000
2016-01-08	172.000	77.000
2016-01-13	166.000	20.000
2016-01-17	428.000	291.500
2016-01-18	1360.000	1712.143
2016-01-19	1050.000	1079.500
2016-01-20	750.000	482.000
2016-01-27	154.000	61.000
2016-01-30	152.000	32.000
2016-02-04	98.900	16.000
2016-02-06	87.500	13.000
2016-02-11	70.100	11.000
2016-02-14	63.500	7.000
2016-02-17	61.200	4.000
2016-02-18	81.400	5.000
2016-02-21	106.000	18.000
2016-02-25	71.400	8.000
2016-02-27	66.100	9.000
2016-03-02	59.000	7.000
2016-03-05	201.000	1630.000
2016-03-06	2190.000	9088.889
2016-03-07	2940.000	4523.000
2016-03-08	840.000	693.833
2016-03-09	556.000	241.250
2016-03-10	1580.000	1182.375
2016-03-11	3980.000	1761.818
2016-03-12	3360.000	1870.000
2016-03-13	2870.000	1224.000
2016-03-14	2520.000	875.500
2016-03-15	1780.000	806.500
2016-03-16	3090.000	1118.750
2016-03-17	3040.000	728.600
2016-03-18	2880.000	666.500
2016-03-19	1010.000	523.500
2016-03-20	1320.000	420.667
2016-03-25	947.000	166.000
2016-03-26	1090.000	213.500
