Dates	Time	Flow	SiltClay
10d	8s	6n	6n
2015-12-19	13:50	18	90.2
2015-12-22	12:52	252	544
2015-12-23	12:40	179	289
2016-01-05	21:00	451	268
2016-01-06	15:10	450	435
2016-01-07	9:00	448	407
2016-01-08	10:50	171	75.5
2016-01-13	9:50	103	18.4
2016-01-17	23:00	633	434
2016-01-18	10:50	1446	1251
2016-01-19	16:45	1507	1686
2016-01-20	14:40	615	224
2016-02-18	8:30	81	3.4
2016-03-06	7:05	3225	11155
2016-03-07	6:20	6257	7654
2016-03-11	14:03	3772	1253
2016-03-17	12:20	3022	619
2016-04-07	12:10	361	21.9
2016-11-20	12:30	107	21.2
2016-12-10	22:50	796	651
2016-12-15	21:00	4604	1600
2016-12-16	9:20	1794	473
2017-01-04	9:00	1947	1232
2017-01-08	12:05	15813	6322
2017-01-09	9:30	3736	1131
2017-01-10	20:37	16154	3493
2017-01-11	12:20	6933	1193
2017-01-14	13:00	3260	475
2017-01-18	22:20	7610	1832
2017-01-19	5:55	8329	1455
2017-01-20	13:00	9655	1462
2017-01-22	11:17	12549	2344
2017-01-25	13:30	4288	383
2017-02-07	12:10	16624	2300
2017-02-09	21:50	12016	1347
2017-02-20	16:00	11132	1273
2017-03-15	14:40	3143	103
2017-04-03	15:00	715	16.6
2017-04-25	11:30	419	18.5
2017-05-15	12:00	509	20.2
