"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",365,190175.448197469,34846.0615763019,224176.31852452,19748.4498298304,766411.235367046
"WY 2011",365,717118.460832326,124445.803491663,409550.433085968,219803.009689596,1764215.71637148
"WY 2012",366,17952.7026235114,2110.23696217074,16140.2829382118,2953.58020356968,60345.4983311443
"WY 2013",365,125339.90122011,16412.4103012055,203195.182185928,7110.99766367341,608925.831923361
"WY 2014",365,778.757043831367,95.4528413370745,12074.5493279544,0.508403516739691,4941.45400223952
"WY 2015",365,117207.249564775,16154.5492487278,795789.503294258,364.548628685053,800102.725289106
"WY 2016",366,167735.001729546,23391.6712996215,253961.864574573,10881.0107756279,785355.16677152
"WY 2017",365,4033361.12040552,702579.036025986,1678227.04378127,1701590.10624068,8149554.66373519
