"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",151,0.000493540146475936,0.000120455299428135,0.000624077971908534,4.50852335019245e-05,0.00207880639824167
"WY 2011",113,0.00306328905954029,0.000686473354578974,0.0012097172286201,0.00135104111332674,0.00600851960725716
"WY 2012",138,0,0,NA,NA,NA
"WY 2013",164,0.000247833927025681,3.76604277339417e-05,0.000317051370228181,2.21570377835095e-05,0.0010514013911265
"WY 2014",91,0,0,NA,NA,NA
"WY 2015",305,0.00011795319902035,1.51157196346075e-05,0.000225508323475844,4.80955217860989e-06,0.0006214135725813
"WY 2016",213,0.000152251394506164,1.89726960173604e-05,0.000265208042910613,7.48809745783213e-06,0.000767341464663358
"WY 2017",216,0.0033080177136618,0.000432967380163181,0.00112147472902165,0.00164126462829191,0.00598009961694657
"WY 2018",213,0,0,NA,NA,NA
"WY 2019",212,0.00175590811934788,0.000295689223870298,0.000958286829793206,0.000566586761431519,0.00419290455762203
