Dates	Flow	pMeHg
10d	6n	6n
2016-12-11	422.0	0.670
2016-12-16	1620.0	2.480
2016-12-17	1200.0	0.564
2017-01-04	40.3	1.290
2017-01-08	1940.0	2.160
2017-01-09	18700.0	2.350
2017-01-11	12100.0	1.480
2017-01-14	3410.0	0.696
2017-01-19	4439.5	1.724
2017-01-20	4910.0	1.400
2017-01-21	9530.0	1.028
2017-01-24	423.0	0.749
2017-02-02	3080.0	0.541
2017-02-08	14600.0	1.280
2017-02-10	10600.0	1.250
2017-02-21	11800.0	1.610
2017-03-16	3020.0	0.390
2017-04-04	554.0	0.202
2017-04-26	368.0	0.258
2018-01-09	37.9	0.558
2018-01-10	47.8	0.152
2018-01-25	29.9	0.066
2018-02-12	9.5	0.024
2018-03-07	22.8	0.047
2018-03-23	716.5	1.352
2018-04-07	195.5	2.764
2018-04-08	822.0	0.776
2018-11-30	33.3	0.023
2019-01-17	6280.0	4.080
2019-01-18	3300.0	0.850
2019-02-03	1910.0	1.130
2019-02-05	2320.0	0.540
2019-02-13	416.0	2.420
2019-02-14	15800.0	2.010
2019-02-15	16200.0	1.540
2019-02-27	24900.0	4.132
2019-02-28	15200.0	2.540
2019-03-05	5010.0	0.550
2019-03-07	9040.0	0.940
2019-03-28	4460.0	0.765
2019-04-17	1090.0	0.330
