Site	Dates	Flow
10s	10d	6n
11452600	2016-10-01	0
11452600	2016-10-02	0
11452600	2016-10-03	0
11452600	2016-10-04	18
11452600	2016-10-05	2.3
11452600	2016-10-06	0
11452600	2016-10-07	0
11452600	2016-10-08	0
11452600	2016-10-09	0
11452600	2016-10-10	0
11452600	2016-10-11	0
11452600	2016-10-12	0
11452600	2016-10-13	0
11452600	2016-10-14	0
11452600	2016-10-15	0
11452600	2016-10-16	0
11452600	2016-10-17	0
11452600	2016-10-18	0
11452600	2016-10-19	0
11452600	2016-10-20	0
11452600	2016-10-21	0
11452600	2016-10-22	0
11452600	2016-10-23	0
11452600	2016-10-24	0
11452600	2016-10-25	0
11452600	2016-10-26	0
11452600	2016-10-27	0
11452600	2016-10-28	0
11452600	2016-10-29	0
11452600	2016-10-30	0
11452600	2016-10-31	0
11452600	2016-11-01	0
11452600	2016-11-02	0
11452600	2016-11-03	0
11452600	2016-11-04	0
11452600	2016-11-05	0
11452600	2016-11-06	0
11452600	2016-11-07	0
11452600	2016-11-08	0
11452600	2016-11-09	0
11452600	2016-11-10	0
11452600	2016-11-11	0
11452600	2016-11-12	0
11452600	2016-11-13	0
11452600	2016-11-14	0
11452600	2016-11-15	0
11452600	2016-11-16	0
11452600	2016-11-17	0
11452600	2016-11-18	0
11452600	2016-11-19	0
11452600	2016-11-20	0
11452600	2016-11-21	0
11452600	2016-11-22	0
11452600	2016-11-23	0
11452600	2016-11-24	0
11452600	2016-11-25	0
11452600	2016-11-26	0
11452600	2016-11-27	0
11452600	2016-11-28	0
11452600	2016-11-29	0
11452600	2016-11-30	0
11452600	2016-12-01	0
11452600	2016-12-02	0
11452600	2016-12-03	0
11452600	2016-12-04	0
11452600	2016-12-05	0
11452600	2016-12-06	0
11452600	2016-12-07	0
11452600	2016-12-08	0
11452600	2016-12-09	0
11452600	2016-12-10	0
11452600	2016-12-11	180
11452600	2016-12-12	134
11452600	2016-12-13	37
11452600	2016-12-14	15
11452600	2016-12-15	15
11452600	2016-12-16	2107
11452600	2016-12-17	832
11452600	2016-12-18	286
11452600	2016-12-19	121
11452600	2016-12-20	63
11452600	2016-12-21	40
11452600	2016-12-22	26
11452600	2016-12-23	22
11452600	2016-12-24	34
11452600	2016-12-25	72
11452600	2016-12-26	38
11452600	2016-12-27	22
11452600	2016-12-28	15
11452600	2016-12-29	11
