"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",365,0.00048796820575294,8.443696466839e-05,0.00026672081850651,0.000157184546005533,0.0011663862369559
"WY 2011",365,0.00144299752022476,0.000231960375457202,0.000414267398273285,0.000798942840875815,0.0024077967526787
"WY 2012",366,6.95942839202786e-05,8.77027045430686e-06,2.50936608239052e-05,3.29942013752219e-05,0.000129905265982535
"WY 2013",365,0.000306543464299531,4.51474305210779e-05,0.000208184360991457,7.58418999873681e-05,0.000847926216747833
"WY 2014",365,3.52280882397894e-06,4.68532739480385e-07,2.21375597432561e-05,1.27537672855597e-08,2.40324216524115e-05
"WY 2015",365,0.000241967535284733,3.42261193694524e-05,0.000616830803907864,5.47073000847525e-06,0.00142721821100423
"WY 2016",366,0.000361461004579489,4.86623845735477e-05,0.000249082853177958,8.77166085354357e-05,0.00100992829470991
"WY 2017",365,0.00526276259562946,0.000742833279342431,0.00112745191923396,0.00339745430774709,0.00779445420898078
