"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2016",366,6.64067174652599e-05,9.6419180324762e-06,5.44019284563333e-05,1.26105907338521e-05,0.000209256616346826
"2","WY 2017",365,2.91760928860949e-05,4.27311393240305e-06,1.26249119516857e-05,1.18880446137414e-05,6.03121370695862e-05
"3","WY 2018",365,6.88914806995583e-06,1.19959724089229e-06,6.93201534037203e-06,9.42845882706988e-07,2.50125507282623e-05
