"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2013",164,199747.513192703,48671.3297029756,432890.533618331,6307.72764726402,1110365.57706271
"WY 2014",91,0,0,NA,NA,NA
"WY 2015",305,112569.22090091,27434.0776447388,417646.26458409,1175.20870598561,730279.846538289
"WY 2016",213,149887.201916,36497.8299268259,498911.021707331,1954.96048058871,951360.201686941
"WY 2017",216,2543569.32204505,642667.734567489,1664629.21684444,660394.119377414,6859059.72777262
"WY 2018",213,0,0,NA,NA,NA
"WY 2019",212,1654618.81273922,413531.466677694,1471107.75074087,277049.422672212,5519099.65727263
