Dates	Time	Flow	fTHg
10d	8s	6n	6n
2015-12-19	13:50	18	3.46
2015-12-22	12:52	252	2.52
2015-12-23	12:40	179	5.72
2016-01-05	21:00	451	1.83
2016-01-06	15:10	450	24.8
2016-01-07	9:00	448	24.6
2016-01-08	10:50	171	13.6
2016-01-13	9:50	103	5.41
2016-01-17	23:00	633	7.21
2016-01-18	10:50	1446	8.07
2016-01-19	16:45	1507	5.54
2016-01-20	14:40	615	8.92
2016-02-18	8:30	81	3.82
2016-03-06	7:05	3225	7.55
2016-03-07	6:20	6257	12.2
2016-03-11	14:03	3772	10.3
2016-03-17	12:20	3022	4.08
2016-04-07	12:10	361	1.41
2016-11-20	12:30	107	1.39
2016-12-10	22:50	796	9.06
2016-12-15	21:00	4604	14.8
2016-12-16	9:20	1794	13.8
2017-01-04	9:00	1947	6.48
2017-01-08	12:05	15813	7.95
2017-01-09	9:30	3736	8.54
2017-01-10	20:37	16154	10.0
2017-01-11	12:20	6933	6.49
2017-01-14	13:00	3260	1.56
2017-01-18	22:20	7610	3.02
2017-01-19	5:55	8329	9.90
2017-01-20	13:00	9655	7.22
2017-01-22	11:17	12549	8.46
2017-01-25	13:30	4288	1.15
2017-02-07	12:10	16624	11.1
2017-02-09	21:50	12016	7.68
2017-02-20	16:00	11132	4.47
2017-03-15	14:40	3143	0.88
2017-04-03	15:00	715	1.45
2017-04-25	11:30	419	2.35
2017-05-15	12:00	509	1.04
2018-01-08	21:10	57.2	1.57
2018-01-09	11:00	180	1.73
2018-01-10	8:20	152	3.47
2018-01-24	23:20	60.0	2.59
2018-01-25	19:40	135	3.59
2018-01-26	8:30	105	8.75
2018-02-12	11:30	26.3	2.92
2018-03-02	10:00	116	2.26
2018-03-07	11:30	38.2	2.98
2018-03-22	12:45	801	3.75
2018-04-07	8:37	909	15.4
2018-05-11	11:30	697	0.71
