"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,0.00111716928317644,0.000168509647176774,0.000263215591485418,0.000689501576130901,0.00171490323421984
"WY 2011",171,0.00305770457067078,0.000473751342426018,0.000628158817315562,0.00201072961566867,0.004461540780399
"WY 2012",138,0.000111060332987055,1.20024926236665e-05,2.34017306675668e-05,7.22284791750174e-05,0.000163509435674111
"WY 2013",165,0.000500347879765782,4.66074317511424e-05,0.000115454697122714,0.000311983567890457,0.0007618737110821
"WY 2014",91,3.41073509731608e-06,5.30629902657299e-07,1.77389570093386e-06,1.15975780993948e-06,7.8950614432606e-06
"WY 2015",314,0.000184168388783475,1.45670856597506e-05,9.74549698205187e-05,6.14712450598869e-05,0.000431066102111704
"WY 2016",214,0.000343860055988239,2.94578993130757e-05,0.000176398004412815,0.000118638059230301,0.000789005858508385
"WY 2017",216,0.0036680541864825,0.000413050062685484,0.000845154674661738,0.00228878763023458,0.00558214475759046
"WY 2018",213,1.57534552031566e-05,2.50815389591014e-06,8.93798369189739e-06,4.86518723191438e-06,3.85879673362866e-05
"WY 2019",212,0.00232367223688272,0.000315964909465329,0.000643903257330249,0.0013139581090423,0.00381626165470408
