"DateTime","pRHg","parm_cd"
"2010-01-21 11:00:00",5.84,"52667"
"2010-01-26 08:00:00",9.67,"52667"
"2010-01-26 14:30:00",11,"52667"
"2010-01-27 08:10:00",2.83,"52667"
"2010-02-17 09:40:00",0.13,"52667"
"2010-03-09 10:50:00",0.12,"52667"
"2010-04-06 08:20:00",0.59,"52667"
"2010-05-04 08:40:00",0.78,"52667"
"2010-06-01 09:30:00",0.03,"52667"
"2010-12-08 15:20:00",0.19,"52667"
"2010-12-20 08:30:00",0.1,"52667"
"2010-12-20 16:00:00",0.42,"52667"
"2010-12-21 15:40:00",1.79,"52667"
"2010-12-23 10:30:00",0.58,"52667"
"2010-12-30 13:30:00",1.69,"52667"
"2011-01-04 14:40:00",0.64,"52667"
"2011-01-26 09:00:00",0.05,"52667"
"2011-02-03 13:50:00",0.02,"52667"
"2011-02-17 05:40:00",2.07,"52667"
"2011-02-18 09:50:00",2.29,"52667"
"2011-02-28 11:00:00",0.25,"52667"
"2011-03-15 09:00:00",0.87,"52667"
"2011-03-17 09:30:00",1.58,"52667"
"2011-03-19 19:40:00",2.05,"52667"
"2011-03-22 11:50:00",4.74,"52667"
"2011-03-25 08:30:00",7.33,"52667"
"2011-04-04 06:50:00",0.97,"52667"
"2011-04-26 09:00:00",0.04,"52667"
"2011-05-24 10:30:00",0.06,"52667"
"2011-10-26 12:50:00",0.06,"52667"
"2011-12-29 15:00:00",0.02,"52667"
"2012-01-23 09:00:00",0.06,"52667"
"2012-01-23 15:00:00",0.03,"52667"
"2012-01-24 09:10:00",0.44,"52667"
"2012-01-24 15:20:00",0.49,"52667"
"2012-02-15 12:30:00",0.09,"52667"
"2012-03-06 11:40:00",0.04,"52667"
"2012-03-14 18:30:00",0.17,"52667"
"2012-03-15 09:50:00",0.33,"52667"
"2012-03-16 13:30:00",0.58,"52667"
"2012-03-17 12:40:00",0.27,"52667"
"2012-03-18 08:50:00",0.43,"52667"
"2012-03-20 11:20:00",0.32,"52667"
"2012-03-28 10:10:00",0.34,"52667"
"2012-03-28 12:30:00",5.51,"52667"
"2012-03-28 16:40:00",6.32,"52667"
"2012-03-29 11:40:00",2.7,"52667"
"2012-04-13 11:50:00",0.8,"52667"
"2012-12-01 09:10:00",4.6,"52667"
"2012-12-01 09:40:00",5.52,"52667"
"2012-12-02 16:00:00",1.15,"52667"
"2012-12-03 10:35:00",5.67,"52667"
"2012-12-05 13:00:00",0.51,"52667"
"2012-12-22 10:40:00",6.17,"52667"
"2012-12-23 09:00:00",3.05,"52667"
"2012-12-24 10:00:00",9.34,"52667"
"2012-12-27 12:40:00",0.59,"52667"
"2013-01-16 10:00:00",0.16,"52667"
"2013-02-04 12:30:00",0.04,"52667"
"2013-02-21 10:30:00",0.15,"52667"
"2013-04-01 15:40:00",0.07,"52667"
"2014-03-02 13:30:00",0.5,"52667"
"2014-03-03 11:00:00",1.41,"52667"
"2014-03-05 11:00:00",0.87,"52667"
"2014-04-02 15:00:00",0.09,"52667"
"2014-04-03 10:30:00",0.38,"52667"
"2014-12-05 13:00:00",3.65,"52667"
"2014-12-12 11:10:00",12.7,"52667"
"2014-12-12 12:50:00",11.8,"52667"
"2014-12-13 11:40:00",3.86,"52667"
"2014-12-15 13:40:00",0.73,"52667"
"2014-12-16 15:30:00",10.2,"52667"
"2014-12-20 11:30:00",7.06,"52667"
"2015-01-16 14:30:00",0.2,"52667"
"2015-02-07 15:20:00",13.7,"52667"
"2015-02-07 16:40:00",23.4,"52667"
"2015-02-08 13:20:00",2.89,"52667"
"2015-02-09 12:10:00",5.4,"52667"
"2015-02-10 11:30:00",1.78,"52667"
"2016-01-07 14:10:00",1.87,"52667"
"2016-01-07 16:50:00",2.67,"52667"
"2016-01-08 12:40:00",2.11,"52667"
"2016-01-09 11:50:00",1.45,"52667"
"2016-01-18 12:30:00",1.55,"52667"
"2016-01-18 15:40:00",2.36,"52667"
"2016-01-19 10:40:00",3.51,"52667"
"2016-01-20 11:10:00",5.19,"52667"
"2016-01-20 12:30:00",5.31,"52667"
"2016-01-20 15:40:00",3.62,"52667"
"2016-03-06 16:40:00",59.5,"52667"
"2016-03-07 17:10:00",12.7,"52667"
"2016-03-11 16:50:00",8.36,"52667"
"2016-03-12 13:00:00",5.5,"52667"
"2016-03-13 11:40:00",15.1,"52667"
"2016-03-17 11:40:00",1.82,"52667"
"2016-04-07 12:00:00",0.32,"52667"
"2016-12-12 12:10:00",0.92,"52667"
"2016-12-16 15:50:00",5.32,"52667"
"2016-12-17 14:10:00",1.18,"52667"
"2017-01-05 11:10:00",2.76,"52667"
"2017-01-08 16:20:00",4.26,"52667"
"2017-01-09 15:20:00",5.93,"52667"
"2017-01-11 14:30:00",5.66,"52667"
"2017-01-14 14:00:00",2.84,"52667"
"2017-01-19 11:20:00",9.51,"52667"
"2017-01-19 15:40:00",8.67,"52667"
"2017-01-20 15:10:00",5.92,"52667"
"2017-01-21 13:40:00",3.36,"52667"
"2017-01-24 13:10:00",2.46,"52667"
"2017-02-02 12:40:00",1.18,"52667"
"2017-02-08 12:40:00",4.46,"52667"
"2017-02-10 13:10:00",4.15,"52667"
"2017-02-21 12:20:00",7.28,"52667"
"2017-03-16 13:20:00",0.89,"52667"
"2017-04-04 13:40:00",0.17,"52667"
"2017-04-26 12:30:00",0.96,"52667"
