Site	Dates	Flow	
10s	10d	6n	
11452900	2016-05-13	0	
11452900	2016-05-14	0	
11452900	2016-05-15	0	
11452900	2016-05-16	0	
11452900	2016-05-17	0	
11452900	2016-05-18	0	
11452900	2016-05-19	0	
11452900	2016-05-20	0	
11452900	2016-05-21	0	
11452900	2016-05-22	0	
11452900	2016-05-23	0	
11452900	2016-05-24	0	
11452900	2016-05-25	0	
11452900	2016-05-26	0	
11452900	2016-05-27	0	
11452900	2016-05-28	0	
11452900	2016-05-29	0	
11452900	2016-05-30	0	
11452900	2016-05-31	0	
11452900	2016-06-01	0	
11452900	2016-06-02	0	
11452900	2016-06-03	0	
11452900	2016-06-04	0	
11452900	2016-06-05	0	
11452900	2016-06-06	0	
11452900	2016-06-07	0	
11452900	2016-06-08	0	
11452900	2016-06-09	0	
11452900	2016-06-10	0	
11452900	2016-06-11	0	
11452900	2016-06-12	0	
11452900	2016-06-13	0	
11452900	2016-06-14	0	
11452900	2016-06-15	0	
11452900	2016-06-16	0	
11452900	2016-06-17	0	
11452900	2016-06-18	0	
11452900	2016-06-19	0	
11452900	2016-06-20	0	
11452900	2016-06-21	0	
11452900	2016-06-22	0	
11452900	2016-06-23	0	
11452900	2016-06-24	0	
11452900	2016-06-25	0	
11452900	2016-06-26	0	
11452900	2016-06-27	0	
11452900	2016-06-28	0	
11452900	2016-06-29	0	
11452900	2016-06-30	0	
11452900	2016-07-01	0	
11452900	2016-07-02	0	
11452900	2016-07-03	0	
11452900	2016-07-04	0	
11452900	2016-07-05	0	
11452900	2016-07-06	0	
11452900	2016-07-07	0	
11452900	2016-07-08	0	
11452900	2016-07-09	0	
11452900	2016-07-10	0	
11452900	2016-07-11	0	
11452900	2016-07-12	0	
11452900	2016-07-13	0	
11452900	2016-07-14	0	
11452900	2016-07-15	0	
11452900	2016-07-16	0	
11452900	2016-07-17	0	
11452900	2016-07-18	0	
11452900	2016-07-19	0	
11452900	2016-07-20	0	
11452900	2016-07-21	0	
11452900	2016-07-22	0	
11452900	2016-07-23	0	
11452900	2016-07-24	0	
11452900	2016-07-25	0	
11452900	2016-07-26	0	
11452900	2016-07-27	0	
11452900	2016-07-28	0	
11452900	2016-07-29	0	
11452900	2016-07-30	0	
11452900	2016-07-31	0	
11452900	2016-08-01	0	
11452900	2016-08-02	0	
11452900	2016-08-03	0	
11452900	2016-08-04	0	
11452900	2016-08-05	0	
11452900	2016-08-06	0	
11452900	2016-08-07	0	
11452900	2016-08-08	0	
11452900	2016-08-09	0	
11452900	2016-08-10	0	
11452900	2016-08-11	0	
11452900	2016-08-12	0	
11452900	2016-08-13	0	
11452900	2016-08-14	0	
11452900	2016-08-15	0	
11452900	2016-08-16	0	
11452900	2016-08-17	0	
11452900	2016-08-18	0	
11452900	2016-08-19	0	
