"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2017-01-06",271,101031.649790783,16150.5867424785,72946.2952485342,22745.2004250787,294991.112471495
"2017-01-07",289,112658.447985498,17851.5395612466,81306.2466344927,25377.7979306709,328839.968447981
"2017-01-08",4450,10948366.7261764,1329820.0582201,7822557.86315299,2500771.36463024,31732397.8170025
"2017-01-09",12200,66754196.9263144,10695303.903398,48202847.6100831,15026013.2515643,194923442.506897
"2017-01-10",5240,14801652.4848122,1811627.80225307,10578063.5893887,3379883.61820107,42907342.2497635
"2017-01-11",12800,73807341.4561711,11967682.356522,53327646.224377,16599891.0517376,215609136.693798
"2017-01-12",5290,15247869.3648534,1844002.63756392,10893167.6504891,3483444.19560593,44190046.3254439
"2017-01-13",4290,10608791.8930515,1238678.61694136,7571610.67773705,2426879.58791275,30724448.4375474
"2017-01-14",3450,7291728.38258405,836160.335787772,5201718.09635849,1669154.7355377,21110758.5185586
"2017-01-15",3250,6610307.148227,752880.482195983,4714787.5168954,1513534.12784864,19135582.4279788
"2017-01-16",3070,6021248.89349049,682005.301736483,4294040.27792058,1378926.44040446,17428651.446607
"2017-01-17",2950,5649552.99155565,636651.342932554,4028450.74346751,1294032.30767299,16351298.1923875
"2017-01-18",2980,5779370.10859096,646857.379726744,4120320.97772111,1324075.18221292,16725035.5644375
"2017-01-19",7210,27478547.2718782,3449031.17948202,19652541.9191871,6268035.60105232,79697827.1169747
"2017-01-20",6970,25992466.7340697,3213122.06815192,18581100.6526933,5932838.55183914,75363120.9654458
"2017-01-21",7170,27463205.0134152,3410337.30653925,19635149.7352691,6267361.97812504,79635024.8053696
"2017-01-22",8050,33925559.8361003,4367105.00025569,24282760.2616582,7730134.24165315,98451664.0778076
"2017-01-23",7510,30088137.5527326,3764202.95058717,21516741.277621,6864254.67966074,87260408.8740015
"2017-01-24",4890,14107424.3023318,1569461.11748776,10056201.0790035,3232722.47046911,40821509.8230415
"2017-01-25",4260,11111520.9177167,1206469.2484563,7916049.83630459,2548237.86602813,32139439.0264475
"2017-01-26",3580,8226891.16737139,877858.540546833,5858659.35377651,1887728.6997757,23789170.4014289
"2017-01-27",3590,8294859.72177521,880652.480877722,5906395.71264858,1903620.09849294,23983808.9412628
"2017-01-28",3450,7763827.58059846,819253.624334508,5527525.40197078,1782082.3354025,22446249.7635982
"2017-01-29",3350,7398158.60090668,776516.858054975,5266570.56385299,1698420.06133126,21387301.511087
"2017-01-30",3260,7075391.1503386,739006.03700833,5036265.84556702,1624558.29035248,20452689.6947432
"2017-01-31",3190,6830855.49913637,710204.93371073,4861727.99293902,1568622.9852299,19744453.3495961
"2017-02-01",3120,6588086.21224834,682031.804704018,4688514.22825691,1513063.64762058,19041513.5800798
"2017-02-02",3250,7087081.33185619,730223.103243989,5043128.68192697,1627889.50293059,20482320.667238
"2017-02-03",4690,13485041.6038652,1429322.24248606,9601738.11086252,3094891.56783361,38989728.1337244
"2017-02-04",4600,13055330.2373429,1374694.8687231,9294423.78548862,2996867.95041443,37743444.8870012
"2017-02-05",3850,9570188.43592318,981646.698565517,6809454.88371442,2198538.41774588,27656905.2008105
"2017-02-06",4700,13596325.5376364,1428948.37627569,9679171.44105097,3121231.85697678,39306338.794741
"2017-02-07",9490,47537962.0567981,6341081.46521061,34066624.5300659,10813984.692131,138070377.365593
"2017-02-08",9310,45966941.2131828,6076571.04612564,32930616.1492438,10461075.7534995,133478438.959928
"2017-02-09",6470,23992854.7257747,2734533.20986375,17113151.1088117,5493410.71097942,69455604.3772117
"2017-02-10",9630,48900768.0193673,6565644.8287747,35051225.6454246,11120493.9859051,142051309.911201
"2017-02-11",5940,20628458.5695796,2281187.2756246,14702453.9400952,4727966.93565144,59684796.1474205
"2017-02-12",5020,15319671.4720858,1614435.00724456,10906660.1730349,3516564.41869649,44290292.8743949
"2017-02-13",4620,13233409.5490397,1367373.21143038,9417381.97637794,3039441.46609832,38247374.3760539
"2017-02-14",4350,11900498.4265128,1214197.22093401,8466603.83190886,2734288.89016419,34388614.3048308
"2017-02-15",4150,10951373.6149852,1107391.4615131,7789926.26374394,2516847.52506335,31641886.8785071
"2017-02-16",4160,10988992.3483178,1110510.02250862,7816587.79886854,2525536.3328585,31750300.9613514
"2017-02-17",5400,17374648.6785202,1862950.48016948,12374447.5651119,3986160.61018519,50244995.5658827
"2017-02-18",15100,110034112.958657,18646893.551498,79686940.4607376,24667913.0998919,321961364.243048
"2017-02-19",7490,30990872.7928907,3748499.59764657,22140166.1464946,7079958.06569832,89815344.0840362
"2017-02-20",7000,27422379.4314138,3230605.66511601,19576380.4531839,6271087.4940106,79432283.9221396
"2017-02-21",12400,76521018.7483824,11800079.1525933,55155163.534274,17267955.109217,223157360.638608
"2017-02-22",7500,30894965.9630301,3759780.12512241,22075534.8554016,7056334.94116057,89548474.8479846
"2017-02-23",6150,21651141.8853629,2440294.96622947,15438554.1174503,4959173.41606695,62664309.2006942
"2017-02-24",5520,17835311.3807071,1940820.44195375,12706855.7382225,4089934.36176843,51589487.868445
"2017-02-25",5040,15148975.2796569,1606744.0719135,10786664.1062421,3476703.8054274,43801161.1222338
"2017-02-26",4870,14220236.929589,1497071.62076133,10123708.5120039,3264292.48994151,41111113.0942184
"2017-02-27",4680,13218670.2882373,1380224.90766436,9408990.87875282,3035125.29619959,38210761.8485266
"2017-02-28",4490,12250896.0909856,1269188.00326642,8718674.08784507,2813563.18560733,35409084.9026772
"2017-03-01",4310,11363539.7027163,1169198.20805363,8085994.07905894,2610290.27284813,32840998.2736128
"2017-03-02",4000,9935310.17107884,1009314.55788412,7067845.32754515,2283040.30056721,28708064.6573295
"2017-03-03",3910,9511874.71009214,964945.352304374,6766425.98795872,2185824.57598772,27483997.4326347
"2017-03-04",3840,9179991.04220699,931106.460380001,6530310.85925543,2109568.65288559,26524969.8852375
"2017-03-05",3890,9351095.36542643,953893.272360018,6652804.9250358,2148543.67333405,27021581.103149
"2017-03-06",3800,8937739.0638305,911139.660605144,6358639.75920244,2053606.7377057,25826877.3320143
"2017-03-07",3730,8613442.96635973,878599.003291302,6127997.85935411,1979060.82867158,24889989.6358547
"2017-03-08",3660,8294487.72079314,846804.012678918,5901184.55535337,1905729.23953222,23968617.6209134
"2017-03-09",3600,8019776.28318614,820079.751680429,5705928.5507624,1842527.6770029,23175324.487897
"2017-03-10",3530,7711079.05762554,789651.031743512,5486459.59459513,1771532.45381048,22283726.9452952
"2017-03-11",3440,7333709.28596462,751652.374622628,5218052.67500412,1684794.77410633,21193456.8940845
"2017-03-12",3180,6363218.49711988,648579.637835795,4527014.98871746,1462070.93483896,18387388.1167459
"2017-03-13",3130,6157767.48345336,629547.905059655,4381123.91817011,1414743.02328409,17794491.1751225
"2017-03-14",3080,5954034.0537509,610865.630211636,4236480.8093253,1367798.22575243,17206631.6568773
"2017-03-15",3030,5753537.0942753,592540.283164017,4094145.29039262,1321594.84437291,16628138.7676669
"2017-03-16",2990,5588656.94213564,578111.373537577,3977188.72363685,1283557.40984545,16152679.4065576
"2017-03-17",2930,5362498.74466334,556934.478928075,3816565.38746682,1231471.90107591,15499944.8834597
"2017-03-18",2890,5203158.52066454,543070.827267281,3703553.48169152,1194705.93089314,15040503.462242
"2017-03-19",2830,4985099.21384233,522678.180474686,3548689.00801637,1144482.66419417,14411163.2778787
"2017-03-20",2680,4507501.08619259,473567.907231523,3208848.63315924,1034772.23806505,13030905.768663
"2017-03-21",2780,4768786.59124172,506146.237817522,3395615.83916535,1094417.47253113,13788436.0121433
"2017-03-22",2840,4913340.24287891,526497.2197336,3499295.3646778,1127259.4685034,14208537.7396696
"2017-03-23",1970,2603589.5516237,276347.723101741,1853888.12156166,597512.760283599,7528004.64537043
"2017-03-24",1830,2279698.69246171,243832.723165288,1623540.13235476,523057.603412589,6592303.85883067
"2017-03-25",2210,3122350.03617285,336479.272231946,2224033.32834315,716228.623798736,9030118.45369197
"2017-03-26",1900,2393821.94388806,259371.017531324,1705319.22475046,549019.068547121,6923755.95748662
"2017-03-27",1810,2187132.15238321,238796.114895072,1558354.67753914,501492.036406554,6326730.81133877
"2017-03-28",1740,2029363.27703643,223326.842717096,1446212.86266674,465197.250116145,5871122.65079831
"2017-03-29",1680,1896843.69752476,210437.530801408,1352036.27790135,434703.104699399,5488481.47587497
"2017-03-30",1640,1806195.270523,202002.335118274,1287677.06173308,413816.91950313,5226914.80432854
"2017-03-31",1160,1000257.87879339,114621.367408049,713543.447523842,228975.471504549,2895874.86708139
"2017-04-01",993,765498.78904269,89341.9095136059,546338.724282311,175119.099411384,2216967.11318843
"2017-04-02",770,498402.381819624,59842.4811736091,355988.744666707,113894.388699892,1444218.58778412
"2017-04-03",674,397119.764690979,48528.3935098214,283790.223515138,90686.0918622341,1151141.79707133
