"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2016",366,1.50653212807619e-05,2.03487481876725e-06,1.12761692513305e-05,3.26330584873069e-06,4.4576953741826e-05
"2","WY 2017",365,7.94190343181598e-06,1.34995885411864e-06,3.81594722077239e-06,2.93001555650032e-06,1.74891756578828e-05
"3","WY 2018",365,1.68886944904683e-06,5.30151157863274e-07,2.45708856419315e-06,1.18356839711312e-07,7.7323318726865e-06
