Dates	Time	Flow	wwTHg
10d	8s	6n	6n
2016-01-24	10:30	65.4	15.8
2016-03-10	16:10	113	30.7
2016-03-12	14:10	3847	98.3
2016-03-13	12:40	3182	71.6
2016-03-14	13:00	2600	74.9
2016-03-15	12:40	2097	49.3
2016-03-17	13:40	2281	27.8
2017-01-05	15:00	226	29.3
2017-01-09	17:20	12769	394
2017-01-10	15:00	3596	184
2017-01-11	16:00	13730	225
2017-01-14	15:30	3891	48.4
2017-01-19	12:20	6693	52.6
2017-01-20	10:00	6730	156
2017-01-21	8:40	10265	289
2017-01-23	12:30	9684	200
2017-01-26	12:00	3503	16.5
2017-02-01	13:30	3118	10.1
2017-02-08	13:50	11260	274
2017-02-10	14:50	11504	203
2017-02-21	13:20	13344	240
2017-03-16	16:20	2706	5.5
2017-04-04	14:40	27.1	20.7
2019-01-17	13:45	6401	131
2019-01-18	13:40	5438	129
2019-02-05	16:20	953	55.4
2019-02-14	15:20	13730	361
2019-02-15	13:17	11138	489
2019-02-27	15:30	17390	190
2019-02-28	14:20	11586	232
2019-03-01	9:30	6549	49.5
2019-03-05	13:40	4471	25.4
2019-03-07	12:20	8195	67.7
2019-03-28	12:00	4244	11.7
2019-04-17	13:10	177	4.0
