Site	Dates	Flow
10s	10d	6n
11451800	2014-11-06	3.7
11451800	2014-11-07	3.5
11451800	2014-11-08	3.3
11451800	2014-11-09	3.4
11451800	2014-11-10	3.5
11451800	2014-11-11	3.7
11451800	2014-11-12	4.9
11451800	2014-11-13	7.1
11451800	2014-11-14	8.3
11451800	2014-11-15	9.4
11451800	2014-11-16	11
11451800	2014-11-17	8.9
11451800	2014-11-18	7.9
11451800	2014-11-19	7.7
11451800	2014-11-20	8.5
11451800	2014-11-21	10
11451800	2014-11-22	11
11451800	2014-11-23	14
11451800	2014-11-24	12
11451800	2014-11-25	12
11451800	2014-11-26	10
11451800	2014-11-27	9.2
11451800	2014-11-28	8.7
11451800	2014-11-29	8.6
11451800	2014-11-30	10
11451800	2014-12-01	15
11451800	2014-12-02	19
11451800	2014-12-03	19
11451800	2014-12-04	433
11451800	2014-12-05	573
11451800	2014-12-06	95
11451800	2014-12-07	200
11451800	2014-12-08	131
11451800	2014-12-09	52
11451800	2014-12-10	33
11451800	2014-12-11	26
11451800	2014-12-12	8575
11451800	2014-12-13	2742
11451800	2014-12-14	679
11451800	2014-12-15	387
11451800	2014-12-16	1143
11451800	2014-12-17	1378
11451800	2014-12-18	1293
11451800	2014-12-19	743
11451800	2014-12-20	1477
11451800	2014-12-21	934
11451800	2014-12-22	747
11451800	2014-12-23	554
11451800	2014-12-24	417
11451800	2014-12-25	339
11451800	2014-12-26	285
11451800	2014-12-27	234
11451800	2014-12-28	200
11451800	2014-12-29	176
11451800	2014-12-30	161
11451800	2014-12-31	147
11451800	2015-01-01	130
11451800	2015-01-02	120
11451800	2015-01-03	114
11451800	2015-01-04	108
11451800	2015-01-05	102
11451800	2015-01-06	97
11451800	2015-01-07	93
11451800	2015-01-08	90
11451800	2015-01-09	86
11451800	2015-01-10	84
11451800	2015-01-11	80
11451800	2015-01-12	78
11451800	2015-01-13	75
11451800	2015-01-14	71
11451800	2015-01-15	71
11451800	2015-01-16	69
11451800	2015-01-17	68
11451800	2015-01-18	70
11451800	2015-01-19	68
11451800	2015-01-20	66
11451800	2015-01-21	64
11451800	2015-01-22	63
11451800	2015-01-23	62
11451800	2015-01-24	60
11451800	2015-01-25	58
11451800	2015-01-26	58
11451800	2015-01-27	57
11451800	2015-01-28	57
11451800	2015-01-29	56
11451800	2015-01-30	54
11451800	2015-01-31	53
11451800	2015-02-01	52
11451800	2015-02-02	51
11451800	2015-02-03	51
11451800	2015-02-04	50
11451800	2015-02-05	50
11451800	2015-02-06	49
11451800	2015-02-07	533
11451800	2015-02-08	3768
11451800	2015-02-09	1172
11451800	2015-02-10	1386
11451800	2015-02-11	585
11451800	2015-02-12	381
11451800	2015-02-13	285
11451800	2015-02-14	226
11451800	2015-02-15	190
11451800	2015-02-16	166
11451800	2015-02-17	147
11451800	2015-02-18	133
11451800	2015-02-19	122
11451800	2015-02-20	113
11451800	2015-02-21	107
11451800	2015-02-22	101
11451800	2015-02-23	94
11451800	2015-02-24	87
11451800	2015-02-25	81
11451800	2015-02-26	79
11451800	2015-02-27	77
11451800	2015-02-28	76
11451800	2015-03-01	74
11451800	2015-03-02	70
11451800	2015-03-03	67
11451800	2015-03-04	65
11451800	2015-03-05	62
11451800	2015-03-06	60
11451800	2015-03-07	58
11451800	2015-03-08	56
11451800	2015-03-09	55
11451800	2015-03-10	54
11451800	2015-03-11	53
11451800	2015-03-12	53
11451800	2015-03-13	52
11451800	2015-03-14	49
11451800	2015-03-15	48
11451800	2015-03-16	48
11451800	2015-03-17	47
11451800	2015-03-18	46
11451800	2015-03-19	44
11451800	2015-03-20	42
11451800	2015-03-21	41
11451800	2015-03-22	40
11451800	2015-03-23	40
11451800	2015-03-24	43
11451800	2015-03-27	38
11451800	2015-03-28	37
11451800	2015-03-29	36
11451800	2015-03-30	35
11451800	2015-03-31	34
11451800	2015-04-01	33
11451800	2015-04-02	31
11451800	2015-04-03	30
11451800	2015-04-04	30
11451800	2015-04-05	31
11451800	2015-04-06	32
11451800	2015-04-07	34
11451800	2015-04-08	45
11451800	2015-04-09	52
11451800	2015-04-10	40
11451800	2015-04-11	36
11451800	2015-04-12	33
11451800	2015-04-13	32
11451800	2015-04-14	30
11451800	2015-04-15	28
11451800	2015-04-16	27
11451800	2015-04-17	26
11451800	2015-04-18	25
11451800	2015-04-19	25
11451800	2015-04-20	24
11451800	2015-04-21	23
11451800	2015-04-22	23
11451800	2015-04-23	23
11451800	2015-04-24	24
11451800	2015-04-25	24
11451800	2015-04-26	24
11451800	2015-04-27	26
11451800	2015-04-28	24
11451800	2015-04-29	22
11451800	2015-04-30	21
11451800	2015-05-01	21
11451800	2015-05-02	20
11451800	2015-05-03	110
11451800	2015-05-04	280
11451800	2015-05-05	351
11451800	2015-05-06	379
11451800	2015-05-07	397
11451800	2015-05-08	467
11451800	2015-05-09	487
11451800	2015-05-10	494
11451800	2015-05-11	496
11451800	2015-05-12	506
11451800	2015-05-13	515
11451800	2015-05-14	507
11451800	2015-05-15	532
11451800	2015-05-16	527
11451800	2015-05-17	481
11451800	2015-05-18	432
11451800	2015-05-19	428
11451800	2015-05-20	422
11451800	2015-05-21	449
11451800	2015-05-22	464
11451800	2015-05-23	415
11451800	2015-05-24	382
11451800	2015-05-25	346
11451800	2015-05-26	332
11451800	2015-05-27	345
11451800	2015-05-28	396
11451800	2015-05-29	424
11451800	2015-05-30	421
11451800	2015-05-31	384
11451800	2015-06-01	374
11451800	2015-06-02	374
