Dates	Flow	SSC
10d	6n	6n
2010-01-21	5879.86	1410
2010-01-22	3109.08	710
2010-01-25	620.85	60
2010-01-26	7364.79	2289.729429
2010-01-27	2002.61	530
2010-02-17	162.07	11
2010-03-09	355.85	11
2010-04-06	427.54	85
2010-04-12	1202.86	113
2010-04-13	2217.28	562.8456441
2010-04-14	2817.65	836
2010-04-15	3713.41	898
2010-05-04	1613.77	261
2010-06-01	22.19	3
2010-12-08	129.12	16.5
2010-12-20	307.84	11
2010-12-20	779.87	79
2010-12-21	1420.36	294
2010-12-23	789.78	82
2010-12-30	1616.39	352
2011-01-04	932.98	81
2011-01-26	87.99	5
2011-02-03	56.32	4
2011-02-17	1375.65	481
2011-02-18	2070.18	500
2011-02-28	339.87	26
2011-03-15	1758.4	252
2011-03-17	2698.6	461
2011-03-19	4103.5	523
2011-03-22	4997.96	941
2011-03-25	12222.26	2720
2011-04-04	3925.75	288
2011-04-26	99.31	1
2011-05-24	28.99	12
2011-10-26	0.001	13
2011-12-29	9.4	7
2011-12-29	9.4	8
2012-01-23	157.04	14.6615118
2012-01-24	686.44	95.71162563
2012-02-15	31.62	14
2012-03-06	29.92	9.5
2012-03-14	23.9	11
2012-03-15	320.08	25
2012-03-16	294.69	28
2012-03-17	274.38	17
2012-03-18	389.86	31
2012-03-20	217.83	15
2012-03-28	1718.12	779.66987
2012-03-29	1228.51	265
2012-04-13	510.65	50
2012-12-01	1886.84	955.9971204
2012-12-02	1276.58	269
2012-12-03	2711.21	1270
2012-12-05	305.35	74
2012-12-22	3602.78	1280
2012-12-23	2350.65	667
2012-12-24	7037.66	2210
2012-12-27	930.45	124
2013-01-16	99.31	11
2013-02-04	59.47	3
2013-02-21	47.56	49
2013-04-01	6.82	22
2014-03-02	204.19	42
2014-03-03	101.91	60
2014-03-05	39	25
2014-04-02	100.91	6
2014-04-03	194.81	42
2014-12-05	147.66	559
2014-12-12	9946.37	2091.305918
2014-12-13	1214.71	489
2014-12-15	287.92	62
2014-12-16	1946.01	1180
2014-12-20	1459.29	1310
2015-01-16	0.001	7
2015-02-07	5086	3267.774298
2015-02-08	823.97	470
2015-02-09	1961.88	1040
2015-02-10	866.57	307
2016-01-07	16.05	477.35884
2016-01-08	140.51	353
2016-01-09	176.34	130
2016-01-18	534.64	268.5263545
2016-01-19	790.48	689
2016-01-20	1175.68	1033.5264
2016-03-06	2240.27	10400
2016-03-07	2424.01	2450
2016-03-11	3488.93	1660
2016-03-12	3046.06	1170
2016-03-13	3391.87	2680
2016-03-17	2214.81	718
2016-04-07	271.59	37
2016-12-12	164.34	86
2016-12-16	2650.34	1130
2016-12-17	1068.74	223
2017-01-05	1138.19	435
2017-01-08	3194.36	1350
2017-01-09	12667.84	1670
2017-01-11	16016.69	1830
2017-01-14	3672.03	694
2017-01-19	8889.83	2471.124215
2017-01-20	6859	1800
2017-01-21	6983.61	928
2017-01-24	5149.3	708
2017-02-02	3483.06	437.5
2017-02-08	9238.4	1210
2017-02-10	11745.16	1200
2017-02-21	15371.74	1750
2017-03-16	3298.35	311
2017-04-04	574.51	34
2017-04-26	384.45	315
