Dates	Flow	pMeHg
10d	6n	6n
2010-01-21	7215	1.28
2010-02-17	346	0.57
2010-03-09	377	0.20
2010-04-06	314	0.24
2010-05-04	435	0.31
2010-06-01	17	0.86
2010-12-30	685.5	0.81
2011-01-04	711	0.22
2011-01-26	51.5	0.44
2011-02-03	114	1.33
2011-02-17	353	0.91
2011-02-18	464	0.73
2011-02-28	308.45	0.39
2011-03-15	1276	0.09
2011-03-17	2091	0.31
2011-03-19	4489.5	1.44
2011-03-21	11650.5	1.68
2011-03-22	6274.666667	0.42
2011-03-25	9535.666667	1.63
2011-04-04	2058.5	0.24
2011-04-26	133	1.98
2012-03-16	191	0.21
2012-03-17	173	0.17
2012-03-18	166	0.20
2012-03-20	155	0.11
2012-03-28	180	0.11
2012-03-29	156	0.57
2012-04-04	312	0.24
2012-04-13	207	0.21
2012-12-02	312	0.61
2012-12-03	1100	1.75
2012-12-05	434	0.36
2012-12-22	184	0.77
2012-12-23	2183.333333	0.62
2012-12-24	4710	1.89
2012-12-27	1189.333333	0.31
2013-01-16	190	0.31
2013-02-04	170	1.14
2013-02-21	71.4	0.39
2013-04-01	19.7	0.64
2014-12-12	0.0005	1.27
2014-12-13	4350	0.47
2014-12-15	912	0.23
2014-12-16	1440	0.14
2014-12-20	1337.0875	0.12
2015-01-16	28.3	0.35
2015-01-29	104	2.95
2015-02-08	544	0.56
2015-02-09	384.6666667	0.49
2015-02-10	1654.333333	0.22
2016-01-20	80.5	0.25
2016-01-23	56.1	
2016-01-24	48.23333333	0.07
2016-02-02	503	0.25
2016-02-03	455	0.37
2016-02-04	349	0.83
2016-03-07	535	0.50
2016-03-08	557	0.64
2016-03-09	783	0.18
2016-03-10	369	0.10
2016-03-12	3788.333333	0.31
2016-03-13	3370	0.25
2016-03-14	3313.333333	0.32
2016-03-15	2566.666667	0.15
2016-03-17	2240	0.21
2016-04-06	470	0.51
2016-12-15	2.25	0.11
2016-12-16	18.4	0.52
2016-12-17	432	0.75
2017-01-05	0.0005	0.30
2017-01-09	13375.1875	1.52
2017-01-10	4333.583333	0.98
2017-01-11	9773.583333	1.02
2017-01-14	3790	0.43
2017-01-20	7940	1.05
2017-01-21	9840	0.87
2017-01-23	11650	0.57
2017-01-26	4303.333333	0.12
2017-02-01	3030.1825	0.15
2017-02-08	14150.365	0.76
2017-02-10	10200.24	0.70
2017-02-21	11400.23667	0.55
2017-03-16	2748	0.13
2017-04-04	111.3333333	0.31
2017-04-26	224	0.32
2018-03-22	47.1	0.13
2018-04-08	219	0.27
2019-01-17	3065	0.86
2019-01-18	8315	0.47
2019-01-30	560	0.25
2019-02-05	1181.666667	0.42
2019-02-14	11679.75	1.73
2019-02-15	15200	1.53
2019-02-27	12305.75	1.51
2019-02-28	16415.66667	0.94
2019-03-01	8057	0.38
2019-03-05	5198.5	0.27
2019-03-07	9675.25	0.43
2019-03-28	4182.666667	0.25
2019-04-17	599.5	0.12
