Dates	Time	Flow	fTHg
10d	8s	6n	6n
2016-12-11	15:00	422	1.00
2016-12-16	12:40	3149	12.3
2016-12-17	11:40	780	8.20
2017-01-04	16:40	2125	4.45
2017-01-08	14:30	3804	5.48
2017-01-09	13:30	12186	10.1
2017-01-11	12:00	15909	11.0
2017-01-14	12:10	3549	2.49
2017-01-19	12:30	8944	5.40
2017-01-20	13:30	6681	4.31
2017-01-21	11:40	6705	5.43
2017-01-24	11:00	4889	1.68
2017-02-02	10:30	3191	1.48
2017-02-08	10:30	8559	4.48
2017-02-10	11:10	10802	6.27
2017-02-21	11:00	14070	4.94
2017-03-16	10:50	3001	1.18
2017-04-04	10:30	553	1.56
2017-04-26	10:30	358	1.23
2018-01-09	15:40	82	2.59
2018-01-10	9:20	41	1.39
2018-01-25	15:00	29	0.84
2018-02-12	13:30	9.4	0.65
2018-03-07	13:00	23	1.09
2018-03-23	10:55	930	3.81
2018-04-07	16:40	649	2.68
2018-04-08	11:00	752	9.36
