Dates	Time	Flow	SSC
10d	8s	6n	6n
2016-01-24	10:30	65	45
2016-03-10	16:35	123	108
2016-03-12	13:15	3702	263
2016-03-13	12:05	3061	245
2016-03-14	12:35	2628	302
2016-03-15	12:10	2108	177
2016-03-17	13:25	2270	115
2017-01-05	14:45	205	97
2017-01-09	17:30	12569	1166
2017-01-10	14:30	3743	668
2017-01-11	16:00	13730	665
2017-01-14	15:35	3891	215
2017-01-19	12:30	6730	319
2017-01-20	10:45	6730	621
2017-01-21	9:25	10109	617
2017-01-23	11:55	9896	450
2017-01-26	11:30	3453	66
2017-02-01	13:00	3074	31
2017-02-08	13:50	11260	549
2017-02-10	14:45	11504	408
2017-02-21	13:25	13421	422
2017-03-16	15:30	2706	17
2017-04-04	15:00	28	32
