"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,0.000130178686092325,8.16937559072964e-06,1.49807253358301e-05,0.000103287689849365,0.000161926376518316
"WY 2011",171,0.00024278789278856,1.70730095250944e-05,2.66248104774482e-05,0.000194788421572781,0.000299019333558017
"WY 2012",138,2.74110736109486e-05,2.16400961974194e-06,4.27517243825919e-06,1.99868241835699e-05,3.67003724686804e-05
"WY 2013",165,7.90924906657137e-05,5.02433755068633e-06,1.03353519675237e-05,6.07710767401194e-05,0.000101209264502152
"WY 2014",91,1.65612360549342e-06,2.01015645501733e-07,6.74324676561513e-07,7.11861921284373e-07,3.30499053694512e-06
"WY 2015",314,3.25406070120067e-05,2.03905936368069e-06,1.1774939881795e-05,1.53856269900557e-05,6.08551389565008e-05
"WY 2016",214,6.1369425430753e-05,3.84513557512028e-06,2.01332295889986e-05,3.11605352780893e-05,0.000109120292487705
"WY 2017",216,0.000385678370556496,3.16895672502716e-05,6.31878433897828e-05,0.000276653557991612,0.000523613265730152
"WY 2018",213,7.27537340755281e-06,6.36766559458239e-07,2.56612254571376e-06,3.50682884255487e-06,1.34237091451777e-05
"WY 2019",212,0.000313776792006177,2.44565221333382e-05,5.24754907714962e-05,0.000223488592441392,0.000428554845643101
