"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2017-01-06",271,103801.893665401,14231.4297074733,71012.540851358,25155.0076285798,291780.105433931
"2017-01-07",289,115317.528343331,15775.2847528624,78883.5725771436,27948.9820259475,324129.679236829
"2017-01-08",4450,10749261.8520282,1143522.7624199,7294741.47014653,2633053.68281072,30045929.1799425
"2017-01-09",12200,66507131.3000378,9499667.7992383,45576566.4846577,16080255.9590976,187170912.688798
"2017-01-10",5240,14518118.6800622,1549513.57168411,9853183.77162126,3555862.34263663,40582776.1806019
"2017-01-11",12800,73440739.0003284,10634049.4304493,50358300.3166359,17742423.3256501,206770882.967313
"2017-01-12",5290,14921141.6005173,1570475.45373187,10123263.5446889,3656225.19358558,41699451.2517125
"2017-01-13",4290,10350076.1871271,1055027.31790398,7016774.91274188,2538664.75778365,28909819.0007268
"2017-01-14",3450,7097256.96314999,715627.692366824,4810374.27101564,1741376.18750773,19820683.2705699
"2017-01-15",3250,6425235.1645826,644632.164786493,4354411.75322403,1576720.23743895,17942531.3343962
"2017-01-16",3070,5845093.31579284,584251.556989057,3960925.3667306,1434510.91133277,16321555.0097224
"2017-01-17",2950,5477580.70468739,545305.739488057,3711555.12700928,1344471.90094808,15294394.8128918
"2017-01-18",2980,5597008.37736652,552563.632783136,3791800.46648062,1374111.24819356,15625909.7877222
"2017-01-19",7210,26776670.6056916,2910302.52526808,18181160.7592621,6554310.3263571,74873259.9507053
"2017-01-20",6970,25286621.9948381,2700882.98459062,17161894.2677393,6193192.30140144,70685108.0133455
"2017-01-21",7170,26698454.1306247,2863322.20044263,18121932.7100476,6538097.76737945,74636958.1234983
"2017-01-22",8050,33005619.1322083,3680856.84195942,22425734.2695727,8071751.24105226,92334310.780786
"2017-01-23",7510,29205659.6478926,3152605.34819768,19826964.4446744,7150529.71282225,81655277.7860433
"2017-01-24",4890,13604452.0434543,1296547.77159674,9209928.16297055,3343212.46591717,37962175.3945693
"2017-01-25",4260,10691539.1909439,996026.909523517,7234757.5893315,2628917.7835626,29824743.0293262
"2017-01-26",3580,7899537.25306432,727320.874094434,5344286.41867956,1942966.27841755,22032885.7303047
"2017-01-27",3590,7956142.56675135,727263.584235487,5381867.15536778,1957233.290588,22188710.5662216
"2017-01-28",3450,7437503.39131368,675764.394686532,5030486.77919121,1829912.31173087,20740703.9523539
"2017-01-29",3350,7078804.03237482,639458.004775235,4787376.45618061,1741898.41031628,19738980.267858
"2017-01-30",3260,6762117.02827689,607506.760742293,4572756.46517759,1664185.26391472,18854629.3134589
"2017-01-31",3190,6521032.49503832,582621.563331248,4409300.05604898,1605059.51774908,18181190.3091256
"2017-02-01",3120,6282244.21632905,558360.0023009,4247453.78480577,1546471.26253033,17514318.7948989
"2017-02-02",3250,6751512.78219646,594144.519056601,4563953.45982434,1662362.8410908,18820367.4105561
"2017-02-03",4690,12859256.0042831,1142956.58703147,8694206.24502693,3165501.70248733,35850436.7922276
"2017-02-04",4600,12434353.2206613,1095418.57777796,8405648.34632343,3061522.50990463,34662167.5087081
"2017-02-05",3850,9094412.99791845,782681.628093341,6145458.21354049,2240330.1508848,25344849.4456263
"2017-02-06",4700,12924879.4722612,1130114.3967618,8736139.16799491,3182831.06045772,36026383.8715417
"2017-02-07",9490,45595763.156723,5223766.03274788,31003222.2410283,11139712.8056021,127622017.579574
"2017-02-08",9310,44026799.8979275,4985208.97120101,29926540.3795866,10761103.2974603,123202191.610529
"2017-02-09",6470,22818386.6416666,2165225.69295372,15446242.2341642,5608120.04198217,63669136.6416503
"2017-02-10",9630,46771846.1812102,5382499.30070887,31806961.183637,11425110.4714136,130925504.182817
"2017-02-11",5940,19556823.3948364,1784759.02572893,13228659.0316061,4811222.70567831,54540462.6651719
"2017-02-12",5020,14482268.4515443,1249239.14105778,9786613.20433542,3567405.22865441,40361096.7534827
"2017-02-13",4620,12488066.3319052,1052360.12956031,8435863.58246206,3077690.15148195,34794366.6999992
"2017-02-14",4350,11213609.2197551,930507.974124903,7573160.35943224,2764464.25466446,31238314.2529438
"2017-02-15",4150,10305510.901769,845427.689463852,6958683.82237189,2541167.3090159,28705160.572584
"2017-02-16",4160,10330718.6887292,844200.78680853,6975305.57151131,2547576.27106849,28774225.4164537
"2017-02-17",5400,16354754.6690701,1419932.45023301,11053148.883386,4028086.14884073,45582967.2563053
"2017-02-18",15100,105510908.280214,15857912.8416183,72473542.5065069,25431450.3887747,297421780.591775
"2017-02-19",7490,29241928.0820205,2926473.18141791,19816308.8642752,7176341.3046512,81655256.3944526
"2017-02-20",7000,25822203.2412508,2496502.75934894,17486131.075326,6343224.69790277,72069368.6287324
"2017-02-21",12400,72790853.324099,9766557.44037135,49755101.8560599,17659928.7076881,204488728.943005
"2017-02-22",7500,29066036.7753201,2914853.22994287,19697997.4577574,7132750.25123898,81166640.040735
"2017-02-23",6150,20291160.0599521,1844676.33759631,13724424.3778227,4992339.50592199,56585646.2811295
