Dates	Flow	fMeHg
10d	6n	6n
2012-12-03	659	0.085432473
2012-12-05	343	0.089125364
2012-12-23	2100	0.2485
2012-12-24	4710	0.224140127
2012-12-27	1060	0.13
2014-12-12	0.0005	0.03
2014-12-13	4350	0.08
2014-12-15	912	0.06
2014-12-20	1350	0.066333333
2015-02-09	215	0.132697674
2015-02-10	1540	0.07
2016-03-12	3590	0.105
2016-03-13	3210	0.095
2016-03-14	3165	0.09549763
2016-03-15	2415	0.105652174
2016-03-17	2030	0.065
2017-01-05	0.0005	0.07
2017-01-09	13366.66667	0.072723192
2017-01-10	4505	0.06045505
2017-01-11	9460	0.05
2017-01-14	3790	0.06
2017-01-19	3790	0.05
2017-01-20	7940	0.04465995
2017-01-21	9840	0.045243902
2017-01-23	11650	0.039957082
2017-01-26	4303.333333	0.033973664
2017-02-01	3030	0.023333333
2017-02-08	14200	0.06
2017-02-10	10100	0.08
2017-02-21	11350	0.065330396
2017-03-16	2630	0.049
2017-04-04	33	0.16469697
2019-01-17	3065	0.062006525
2019-01-18	8315	0.055267589
2019-02-05	967	0.088831437
2019-02-14	11333.33333	0.065588235
2019-02-15	15200	0.05
2019-02-27	12066.66667	0.069889503
2019-02-28	15950	0.049968652
2019-03-01	7945	0.045746381
2019-03-05	4830	0.035
2019-03-07	9480	0.05173699
2019-03-28	3940	0.08
2019-04-17	251	0.105
