"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,0.000181646990870342,2.03708183713637e-05,2.75572574564041e-05,0.000133624104312981,0.00024137345312582
"WY 2011",171,0.000304655986090578,3.43940336275668e-05,4.16335095575241e-05,0.000231208790269347,0.000394075406603583
"WY 2012",138,3.08385256887558e-05,2.60788915881552e-06,4.80060959187057e-06,2.24997821967647e-05,4.12676914393222e-05
"WY 2013",165,8.48970480717361e-05,6.09795166054073e-06,1.10649413815203e-05,6.52769022002821e-05,0.000108570116182786
"WY 2014",91,1.22359457106929e-06,2.89038306061159e-07,7.68307142827022e-07,3.34751845130163e-07,3.20778283108393e-06
"WY 2015",314,2.91066487000532e-05,1.99251734914116e-06,1.02755578745414e-05,1.40203998921153e-05,5.37296387328331e-05
"WY 2016",214,4.93321741597926e-05,3.84148668464399e-06,1.64234873616233e-05,2.47933310526753e-05,8.8364280156771e-05
"WY 2017",216,0.000278349215365661,2.57703309619283e-05,4.77066708661986e-05,0.000196547047923578,0.000382948040181789
"WY 2018",213,4.50693149625127e-06,5.82942534636858e-07,1.85681307138487e-06,1.91776575861854e-06,9.05479091525467e-06
"WY 2019",212,0.000187765236771608,2.16121516782025e-05,3.91803444615585e-05,0.000122639054514549,0.000275481060208151
