"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2016",366,52193.9052663773,11706.6659004785,280462.235636964,257.690943790425,353870.926581522
"2","WY 2017",365,1676941.44059369,393185.61780843,1711826.55215102,223998.92320962,6147888.17516808
"3","WY 2018",365,0,0,NA,NA,NA
"4","WY 2019",365,968622.048096695,222523.373221201,1468443.3422553,62677.7728379544,4538430.68329325
