"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2012-11-10",0,0,0,0,0,0
"2012-11-11",0,0,0,0,0,0
"2012-11-12",0,0,0,0,0,0
"2012-11-13",0,0,0,0,0,0
"2012-11-14",0,0,0,0,0,0
"2012-11-15",0,0,0,0,0,0
"2012-11-16",0,0,0,0,0,0
"2012-11-17",0,0,0,0,0,0
"2012-11-18",0,0,0,0,0,0
"2012-11-19",0,0,0,0,0,0
"2012-11-20",0,0,0,0,0,0
"2012-11-21",0,0,0,0,0,0
"2012-11-22",0,0,0,0,0,0
"2012-11-23",0,0,0,0,0,0
"2012-11-24",0,0,0,0,0,0
"2012-11-25",0,0,0,0,0,0
"2012-11-26",0,0,0,0,0,0
"2012-11-27",0,0,0,0,0,0
"2012-11-28",0,0,0,0,0,0
"2012-11-29",0,0,0,0,0,0
"2012-11-30",0,0,0,0,0,0
"2012-12-01",0,0,0,0,0,0
"2012-12-02",0,0,0,0,0,0
"2012-12-03",1210,0.000353848032078034,5.05769706228293e-05,0.000157794206954137,0.000136653908370977,0.000764263041603943
"2012-12-04",369,0.000122267132124278,1.88192668724478e-05,5.49687615133009e-05,4.68528822333141e-05,0.000265420696330298
"2012-12-05",281,9.53506693212083e-05,1.51162499397025e-05,4.3020286084892e-05,3.64138089116031e-05,0.000207449557119917
"2012-12-06",386,0.000127317601658537,1.94898749451663e-05,5.7202886132498e-05,4.88180767682998e-05,0.000276274554206592
"2012-12-07",321,0.000107630604727869,1.6798600689895e-05,4.84684628190073e-05,4.11787528715063e-05,0.000233888299132161
"2012-12-08",157,5.5722702707163e-05,9.45188706952829e-06,2.5364696903413e-05,2.10985684753735e-05,0.000121907724996232
"2012-12-09",87.3,3.21842725452017e-05,5.84559421325874e-06,1.47984458376027e-05,1.20669321498616e-05,7.08591604296064e-05
"2012-12-10",58.9,2.21774873274373e-05,4.20494997568735e-06,1.02684442645863e-05,8.25841901869808e-06,4.90425559709129e-05
"2012-12-11",39.2,1.50320647096189e-05,2.96967350097687e-06,7.00982228900238e-06,5.55827949899708e-06,3.33920177197988e-05
"2012-12-12",24,9.36372257900856e-06,1.93366740932039e-06,4.4026942226582e-06,3.43401791914398e-06,2.09099078448142e-05
"2012-12-13",9.87,3.92205986762355e-06,8.64295949413873e-07,1.86861490045525e-06,1.41938345128522e-06,8.83256521435624e-06
"2012-12-14",0.18,6.31885849451605e-08,1.51426765368214e-08,3.06877304087933e-08,2.24250995985066e-08,1.44070143002928e-07
"2012-12-15",0,0,0,0,0,0
"2012-12-16",0,0,0,0,0,0
"2012-12-17",0,0,0,0,0,0
"2012-12-18",0,0,0,0,0,0
"2012-12-19",0,0,0,0,0,0
"2012-12-20",0,0,0,0,0,0
"2012-12-21",0,0,0,0,0,0
"2012-12-22",268,9.09706618669542e-05,1.44188937458003e-05,4.10430688404196e-05,3.47419656778834e-05,0.000197917044839845
"2012-12-23",2020,0.000551443866335228,7.92844252465987e-05,0.000246058855207603,0.000212841082873058,0.00119149184571548
"2012-12-24",5570,0.00131186470167653,0.000218201448258191,0.000595557311361413,0.000498009704209774,0.00286522348427153
"2012-12-25",1860,0.0005130813489603,7.32830562384762e-05,0.000228785122466725,0.00019816305201544,0.00110813321737117
"2012-12-26",1110,0.000326345576073831,4.60869452260798e-05,0.000145351618524637,0.000126179810162811,0.000704325300220198
"2012-12-27",909,0.000273408078546781,3.8807739536206e-05,0.000121836205006122,0.000105660157587272,0.000590262659742174
"2012-12-28",763,0.000233929718314508,3.34785566537442e-05,0.000104331572575271,9.03310824984413e-05,0.00050529653390546
"2012-12-29",1080,0.000318343591027704,4.49043388117495e-05,0.000141770945425357,0.000123099649651719,0.000687005150562292
"2012-12-30",1170,0.000341562438009464,4.80977529905169e-05,0.000152085339858383,0.00013209948610814,0.000737035013240107
"2012-12-31",1090,0.000320808682885065,4.51945013281727e-05,0.000142850528825323,0.000124067930759916,0.000692270154909477
"2013-01-01",1130,0.000331105617951583,4.65920582520667e-05,0.000147418802234719,0.000128063981272702,0.000714439354249483
"2013-01-02",1140,0.000333617420909102,4.69138468362241e-05,0.000148527132801012,0.000129043759728552,0.000719829068771829
"2013-01-03",1150,0.000336124846071853,4.72349852541913e-05,0.000149633509442986,0.000130021849485416,0.000725209323008335
"2013-01-04",1040,0.000307509511749483,4.3270535360356e-05,0.00013691269540967,0.000118937856938937,0.00066352402436897
"2013-01-05",703,0.000217067961660702,3.1105964865503e-05,9.68243289640597e-05,8.38092327158945e-05,0.000468913725626289
"2013-01-06",465,0.00014970162883831,2.2210091498934e-05,6.70224961931496e-05,5.75956595606576e-05,0.000324132225310868
"2013-01-07",344,0.000113874634075102,1.74400136250088e-05,5.11657828304187e-05,4.36613348586156e-05,0.000247112015017394
"2013-01-08",283,9.52719338584989e-05,1.49197770766243e-05,4.29204582077654e-05,3.64362111979309e-05,0.000207084474726927
"2013-01-09",206,7.11512540253177e-05,1.1575789355903e-05,3.22071828643786e-05,2.70865968522211e-05,0.000155117194415434
"2013-01-10",153,5.40163537052985e-05,9.113613595533e-06,2.45698187705224e-05,2.04671561215126e-05,0.000118119869552147
"2013-01-11",120,4.30653957067859e-05,7.48295225853129e-06,1.96701937072743e-05,1.62520173191275e-05,9.44189275670649e-05
"2013-01-12",103,3.73188186089729e-05,6.60297913450668e-06,1.70908813974131e-05,1.40468515852162e-05,8.19570176762451e-05
"2013-01-13",87.4,3.19750861157276e-05,5.7667468480246e-06,1.46861715755785e-05,1.20013653752654e-05,7.03499995596868e-05
