"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",151,0.000290812313043626,3.90326023903926e-05,0.000347794205657,2.9420468352051e-05,0.00118282594323678
"WY 2011",113,0.00201629717209629,0.000279495274587541,0.000697190209791849,0.000986208552958477,0.00368207080277953
"WY 2012",138,0,0,NA,NA,NA
"WY 2013",164,0.00017191681235595,2.41930357837797e-05,0.000259894375924026,1.11856319369651e-05,0.000804250818737974
"WY 2014",91,0,0,NA,NA,NA
"WY 2015",305,9.28202922052917e-05,1.3706759418103e-05,0.000210571418296312,2.6685343805188e-06,0.000525272098701506
"WY 2016",213,0.000132831073736541,1.8494481086522e-05,0.000275218708418758,4.59863877106607e-06,0.000724889325202554
"WY 2017",216,0.00331647792088538,0.000491835471913258,0.00130724592268669,0.00146498685691832,0.00649830841425171
"WY 2018",213,0,0,NA,NA,NA
"WY 2019",212,0.00202778238243544,0.000288776314250738,0.00112254590266953,0.000643979648333886,0.00488738296815005
