Dates	Time	Flow	pTHg
10d	8s	6n	6n
2016-12-12	12:10	135	33
2016-12-16	15:50	2987	332
2016-12-17	14:10	761	51
2017-01-05	11:10	883	122
2017-01-08	16:20	3675	200
2017-01-09	15:20	12403	707
2017-01-11	14:30	15715	460
2017-01-14	14:00	3552	102
2017-01-19	13:30	8591	529
2017-01-20	15:10	6543	404
2017-01-21	13:40	6705	204
2017-01-24	13:10	4880	180
2017-02-02	12:40	3193	302
2017-02-08	12:40	8478	343
2017-02-10	13:10	10802	302
2017-02-21	12:20	14034	588
2017-03-16	13:20	2995	54
2017-04-04	13:40	543	10
2017-04-26	12:30	358	66
