"Date","Flow","Conc","Std.Err","SEP","L95","U95"
"2017-01-04",895,0.954455230849815,0.135570080782956,0.870334154071702,0.146220440903958,3.40170551682996
"2017-01-05",834,0.931223168056282,0.132979085897341,0.849260360860717,0.142630943760092,3.31922012719602
"2017-01-06",271,0.627668958560207,0.105656337632434,0.575150897564834,0.0953920783999553,2.24497731147156
"2017-01-07",289,0.642062705780082,0.106760620548748,0.588099489589238,0.0976450990528829,2.29577681124286
"2017-01-08",4450,1.66379266378855,0.258121533735092,1.52070183391666,0.25391751065734,5.93987340566721
"2017-01-09",12200,2.35012636472754,0.442368894416941,2.16256783220056,0.354710969626652,8.43138376433758
"2017-01-10",5240,1.75993248374952,0.280632919259037,1.60988013405196,0.268232968054747,6.2868067166186
"2017-01-11",12800,2.38889567220792,0.454233264943693,2.19918174906963,0.360309725906937,8.57312905108852
"2017-01-12",5290,1.7656827964028,0.282017449703073,1.6152217515095,0.269087125083168,6.30757924636312
"2017-01-13",4290,1.64296240686553,0.253406583011132,1.50141197005383,0.250807148680828,5.86479546675614
"2017-01-14",3450,1.5241531098794,0.227677157139114,1.39160816555725,0.233006970514826,5.43719644592735
"2017-01-15",3250,1.49308193886397,0.22128679931718,1.36295398621207,0.228335005890821,5.32554551801446
"2017-01-16",3070,1.46401287193932,0.215440020836776,1.33616947554194,0.223957728309894,5.2211550257965
"2017-01-17",2950,1.44399918267753,0.211489850842856,1.31774178897651,0.220940447867474,5.14932067081975
"2017-01-18",2980,1.44905253365069,0.212481405134464,1.32239367261663,0.221702571073387,5.16745560172366
"2017-01-19",7210,1.96353398485933,0.332117131802393,1.79953526774654,0.298334901638203,7.02378358103458
"2017-01-20",6970,1.94089405765062,0.326150487741043,1.77839306970488,0.295001910350428,6.94168372166327
"2017-01-21",7170,1.95979591532682,0.331127974519631,1.79604357759437,0.297784836648649,7.01022553329602
"2017-01-22",8050,2.03902820226231,0.352427172646701,1.87013042644458,0.30942347655616,7.29781958607125
"2017-01-23",7510,1.99113827128347,0.339470296227522,1.82533125998613,0.302393951717224,7.1239362865667
"2017-01-24",4890,1.71862054397648,0.270810951918388,1.57152985361164,0.262089568795337,6.13764285003594
"2017-01-25",4260,1.63899947367596,0.252516291015192,1.49774339186466,0.250215053975846,5.85051564637003
"2017-01-26",3580,1.54371267095289,0.231773401240231,1.40965939255777,0.235944419231288,5.50751901031961
"2017-01-27",3590,1.54519758023018,0.232086670249987,1.41103020870506,0.236167309277934,5.51285888830597
"2017-01-28",3450,1.5241531098794,0.227677157139114,1.39160816555725,0.233006970514826,5.43719644592735
"2017-01-29",3350,1.5087715342152,0.224495622684419,1.3774198908873,0.230695021889823,5.38191528510326
"2017-01-30",3260,1.4946652020622,0.221608928322389,1.36441346708567,0.228573240200323,5.33123304104691
"2017-01-31",3190,1.48351377605733,0.219348132358262,1.35413530204531,0.226894892186543,5.2911780427819
"2017-02-01",3120,1.47219867803462,0.217073440676058,1.34370967291586,0.225190985614326,5.25054476432064
"2017-02-02",3250,1.49308193886397,0.22128679931718,1.36295398621207,0.228335005890821,5.32554551801446
"2017-02-03",4690,1.69412389617047,0.265091976669182,1.54881053431156,0.258441007741775,6.04925339661262
"2017-02-04",4600,1.68287339762709,0.262492097209644,1.53838159304513,0.256763912514526,6.00867402739686
"2017-02-05",3850,1.58287708057414,0.240142830778797,1.44583420078385,0.241817799518274,5.648413586419
"2017-02-06",4700,1.69536505972236,0.265379830023728,1.54996126706272,0.258625970906963,6.05373072124405
"2017-02-07",9490,2.15705037859093,0.385404620316482,1.98078546017095,0.326680699818345,7.72705126365782
"2017-02-08",9310,2.14298228972353,0.381397737271142,1.9675769450139,0.324628607685872,7.67583496835456
"2017-02-09",6470,1.89200257093472,0.313466331836757,1.73278110022097,0.287792125816661,6.76451460728533
"2017-02-10",9630,2.16786958805031,0.388499838609253,1.99094701360511,0.328257976919529,7.766449301666
"2017-02-11",5940,1.83734601417244,0.29961990062396,1.68186406586681,0.279712499172135,6.56666174543567
"2017-02-12",5020,1.73418786667415,0.27448618549074,1.585975897436,0.264405968622274,6.19383647033167
"2017-02-13",4620,1.68538607592328,0.263071286980014,1.54071049634087,0.257138552038367,6.01773617628876
"2017-02-14",4350,1.65083333589967,0.255181215069896,1.50869949953235,0.251982796340644,5.89316063326276
"2017-02-15",4150,1.6243079170504,0.249234670060475,1.48414670176032,0.248019032291722,5.79758713946535
"2017-02-16",4160,1.62565413427563,0.249534127639709,1.48539235667538,0.248220322684759,5.80243641347539
"2017-02-17",5400,1.77820733999733,0.285047567239192,1.62685912528432,0.270946724478398,6.3528316002223
"2017-02-18",15100,2.52715856796634,0.497641752562101,2.33006051589389,0.380197058048003,9.07948690297196
"2017-02-19",7490,1.98932109592154,0.338983623986959,1.82363252145434,0.302126907837063,7.11734158616513
"2017-02-20",7000,1.94375218062026,0.326900516029048,1.78106138688409,0.295422871090516,6.95204616109964
