Dates	Flow	wwMeHg
10d	6n	6n
2016-12-11	422.0	0.710
2016-12-16	1620.0	2.570
2016-12-17	1200.0	0.644
2017-01-04	40.3	1.350
2017-01-08	1940.0	2.180
2017-01-09	18700.0	2.400
2017-01-11	12100.0	1.520
2017-01-14	3410.0	0.726
2017-01-19	4439.5	1.755
2017-01-20	4910.0	1.430
2017-01-21	9530.0	1.051
2017-01-24	423.0	0.765
2017-02-02	3080.0	0.551
2017-02-08	14600.0	1.310
2017-02-10	10600.0	1.300
2017-02-21	11800.0	1.650
2017-03-16	3020.0	0.410
2017-04-04	554.0	0.252
2017-04-26	368.0	0.318
2018-01-09	37.9	0.628
2018-01-10	47.8	0.182
2018-01-25	29.9	0.096
2018-02-12	9.5	0.054
2018-03-07	22.8	0.077
2018-03-23	716.5	1.441
2018-04-07	195.5	2.840
2018-04-08	822.0	0.967
2018-11-30	33.3	0.083
2019-01-17	6280.0	4.130
2019-01-18	3300.0	0.899
2019-02-03	1910.0	1.189
2019-02-05	2320.0	0.600
2019-02-13	416.0	2.460
2019-02-14	15800.0	2.040
2019-02-15	16200.0	1.580
2019-02-27	24900.0	4.177
2019-02-28	15200.0	2.570
2019-03-05	5010.0	0.570
2019-03-07	9040.0	0.970
2019-03-28	4460.0	0.815
2019-04-17	1090.0	0.380
