Site	Dates	Flow
10s	10d	6n
11451800	2015-10-01	3
11451800	2015-10-02	3
11451800	2015-10-03	3
11451800	2015-10-04	3
11451800	2015-10-05	4
11451800	2015-10-06	4
11451800	2015-10-07	4
11451800	2015-10-08	4
11451800	2015-10-09	4
11451800	2015-10-10	4
11451800	2015-10-11	4
11451800	2015-10-12	3
11451800	2015-10-13	3
11451800	2015-10-14	9
11451800	2015-10-15	10
11451800	2015-10-16	10
11451800	2015-10-17	11
11451800	2015-10-18	11
11451800	2015-10-19	12
11451800	2015-10-20	17
11451800	2015-10-21	14
11451800	2015-10-22	12
11451800	2015-10-23	11
11451800	2015-10-24	11
11451800	2015-10-25	11
11451800	2015-10-26	12
11451800	2015-10-27	13
11451800	2015-10-28	13
11451800	2015-10-29	13
11451800	2015-10-30	14
11451800	2015-10-31	14
11451800	2015-11-01	14
11451800	2015-11-02	18
11451800	2015-11-03	17
11451800	2015-11-04	18
11451800	2015-11-05	14
11451800	2015-11-06	13
11451800	2015-11-07	13
11451800	2015-11-08	12
11451800	2015-11-09	13
11451800	2015-11-10	14
11451800	2015-11-11	14
11451800	2015-11-12	13
11451800	2015-11-13	13
11451800	2015-11-14	13
11451800	2015-11-15	13
11451800	2015-11-16	14
11451800	2015-11-17	15
11451800	2015-11-18	13
11451800	2015-11-19	13
11451800	2015-11-20	13
11451800	2015-11-21	13
11451800	2015-11-22	13
11451800	2015-11-23	13
11451800	2015-11-24	13
11451800	2015-11-25	14
11451800	2015-11-26	13
11451800	2015-11-27	13
11451800	2015-11-28	14
11451800	2015-11-29	14
11451800	2015-11-30	15
11451800	2015-12-01	15
11451800	2015-12-02	15
11451800	2015-12-03	17
11451800	2015-12-04	20
11451800	2015-12-05	19
11451800	2015-12-06	18
11451800	2015-12-07	17
11451800	2015-12-08	17
11451800	2015-12-09	17
11451800	2015-12-10	20
11451800	2015-12-11	24
11451800	2015-12-12	30
11451800	2015-12-13	30
11451800	2015-12-14	47
11451800	2015-12-15	27
11451800	2015-12-16	19
11451800	2015-12-17	17
11451800	2015-12-18	16
11451800	2015-12-19	18
11451800	2015-12-20	22
11451800	2015-12-21	30
11451800	2015-12-22	265
11451800	2015-12-23	201
11451800	2015-12-24	106
11451800	2015-12-25	84
11451800	2015-12-26	71
11451800	2015-12-27	64
11451800	2015-12-28	60
11451800	2015-12-29	59
11451800	2015-12-30	56
11451800	2015-12-31	55
11451800	2016-01-01	52
11451800	2016-01-02	52
11451800	2016-01-03	51
11451800	2016-01-04	58
11451800	2016-01-05	171
11451800	2016-01-06	510
11451800	2016-01-07	403
11451800	2016-01-08	172
11451800	2016-01-09	119
11451800	2016-01-10	119
11451800	2016-01-11	112
11451800	2016-01-12	94
11451800	2016-01-13	166
11451800	2016-01-14	251
11451800	2016-01-15	262
11451800	2016-01-16	348
11451800	2016-01-17	428
11451800	2016-01-18	1360
11451800	2016-01-19	1046
11451800	2016-01-20	750
11451800	2016-01-21	364
11451800	2016-01-22	276
11451800	2016-01-23	302
11451800	2016-01-24	262
11451800	2016-01-25	214
11451800	2016-01-26	181
11451800	2016-01-27	154
11451800	2016-01-28	135
11451800	2016-01-29	130
11451800	2016-01-30	152
11451800	2016-01-31	142
11451800	2016-02-01	127
11451800	2016-02-02	113
11451800	2016-02-03	105
11451800	2016-02-04	99
11451800	2016-02-05	93
11451800	2016-02-06	88
11451800	2016-02-07	82
11451800	2016-02-08	79
11451800	2016-02-09	75
11451800	2016-02-10	72
11451800	2016-02-11	70
11451800	2016-02-12	68
11451800	2016-02-13	66
11451800	2016-02-14	63
11451800	2016-02-15	62
11451800	2016-02-16	60
11451800	2016-02-17	61
11451800	2016-02-18	81
11451800	2016-02-19	86
11451800	2016-02-20	113
11451800	2016-02-21	106
11451800	2016-02-22	89
11451800	2016-02-23	81
11451800	2016-02-24	75
11451800	2016-02-25	71
11451800	2016-02-26	69
11451800	2016-02-27	66
11451800	2016-02-28	64
11451800	2016-02-29	63
11451800	2016-03-01	60
11451800	2016-03-02	59
11451800	2016-03-03	59
11451800	2016-03-04	61
11451800	2016-03-05	201
11451800	2016-03-06	2191
11451800	2016-03-07	2941
11451800	2016-03-08	840
11451800	2016-03-09	556
11451800	2016-03-10	1584
11451800	2016-03-11	3983
11451800	2016-03-12	3356
11451800	2016-03-13	2867
11451800	2016-03-14	2522
11451800	2016-03-15	1780
11451800	2016-03-16	3095
11451800	2016-03-17	3043
11451800	2016-03-18	2880
11451800	2016-03-19	1013
11451800	2016-03-20	1319
11451800	2016-03-21	1112
11451800	2016-03-22	1109
11451800	2016-03-23	964
11451800	2016-03-24	878
11451800	2016-03-25	947
11451800	2016-03-26	1086
11451800	2016-03-27	1059
11451800	2016-03-28	1039
11451800	2016-03-29	1022
11451800	2016-03-30	1010
11451800	2016-03-31	978
11451800	2016-04-01	617
11451800	2016-04-02	597
11451800	2016-04-03	582
11451800	2016-04-04	555
11451800	2016-04-05	463
11451800	2016-04-06	360
11451800	2016-04-07	354
11451800	2016-04-08	352
11451800	2016-04-09	350
11451800	2016-04-10	307
11451800	2016-04-11	300
11451800	2016-04-12	288
11451800	2016-04-13	278
11451800	2016-04-14	285
11451800	2016-04-15	282
11451800	2016-04-16	263
11451800	2016-04-17	257
11451800	2016-04-18	240
11451800	2016-04-19	270
11451800	2016-04-20	343
11451800	2016-04-21	404
11451800	2016-04-22	418
11451800	2016-04-23	394
11451800	2016-04-24	384
11451800	2016-04-25	385
11451800	2016-04-26	397
11451800	2016-04-27	477
11451800	2016-04-28	486
11451800	2016-04-29	479
11451800	2016-04-30	509
11451800	2016-05-01	503
11451800	2016-05-02	529
11451800	2016-05-03	557
11451800	2016-05-04	594
11451800	2016-05-05	621
11451800	2016-05-06	664
11451800	2016-05-07	642
11451800	2016-05-08	594
11451800	2016-05-09	564
11451800	2016-05-10	520
11451800	2016-05-11	510
11451800	2016-05-12	507
11451800	2016-05-13	548
11451800	2016-05-14	609
11451800	2016-05-15	606
11451800	2016-05-16	605
11451800	2016-05-17	639
11451800	2016-05-18	633
11451800	2016-05-19	678
11451800	2016-05-20	717
11451800	2016-05-21	718
11451800	2016-05-22	729
11451800	2016-05-23	733
11451800	2016-05-24	722
11451800	2016-05-25	720
11451800	2016-05-26	710
11451800	2016-05-27	699
11451800	2016-05-28	686
11451800	2016-05-29	693
11451800	2016-05-30	732
11451800	2016-05-31	722
11451800	2016-06-01	738
11451800	2016-06-02	757
11451800	2016-06-03	757
11451800	2016-06-04	749
11451800	2016-06-05	737
11451800	2016-06-06	755
11451800	2016-06-07	766
11451800	2016-06-08	777
11451800	2016-06-09	774
11451800	2016-06-10	729
11451800	2016-06-11	704
11451800	2016-06-12	701
11451800	2016-06-13	702
11451800	2016-06-14	702
11451800	2016-06-15	689
11451800	2016-06-16	696
11451800	2016-06-17	673
11451800	2016-06-18	682
11451800	2016-06-19	680
11451800	2016-06-20	687
11451800	2016-06-21	630
11451800	2016-06-22	608
11451800	2016-06-23	686
