Site	Dates	Flow
10s	10d	6n
11451800	2015-10-01	5
11451800	2015-10-02	5
11451800	2015-10-03	5
11451800	2015-10-04	6
11451800	2015-10-05	7
11451800	2015-10-06	7
11451800	2015-10-07	7
11451800	2015-10-08	8
11451800	2015-10-09	8
11451800	2015-10-10	9
11451800	2015-10-11	9
11451800	2015-10-12	9
11451800	2015-10-13	10
11451800	2015-10-14	16
11451800	2015-10-15	18
11451800	2015-10-16	18
11451800	2015-10-17	18
11451800	2015-10-18	20
11451800	2015-10-19	19
11451800	2015-10-20	17
11451800	2015-10-21	15
11451800	2015-10-22	13
11451800	2015-10-23	12
11451800	2015-10-24	12
11451800	2015-10-25	13
11451800	2015-10-26	14
11451800	2015-10-27	15
11451800	2015-10-28	15
11451800	2015-10-29	16
11451800	2015-10-30	17
11451800	2015-10-31	17
11451800	2015-11-01	18
11451800	2015-11-02	23
11451800	2015-11-03	24
11451800	2015-11-04	23
11451800	2015-11-05	18
11451800	2015-11-06	18
11451800	2015-11-07	18
11451800	2015-11-08	18
11451800	2015-11-09	19
11451800	2015-11-10	21
11451800	2015-11-11	22
11451800	2015-11-12	21
11451800	2015-11-13	20
11451800	2015-11-14	20
11451800	2015-11-15	21
11451800	2015-11-16	22
11451800	2015-11-17	23
11451800	2015-11-18	21
11451800	2015-11-19	20
11451800	2015-11-20	15
11451800	2015-11-21	13
11451800	2015-11-22	13
11451800	2015-11-23	13
11451800	2015-11-24	14
11451800	2015-11-25	15
11451800	2015-11-26	14
11451800	2015-11-27	14
11451800	2015-11-28	15
11451800	2015-11-29	15
11451800	2015-11-30	16
11451800	2015-12-01	16
11451800	2015-12-02	16
11451800	2015-12-03	19
11451800	2015-12-04	23
11451800	2015-12-05	21
11451800	2015-12-06	21
11451800	2015-12-07	20
11451800	2015-12-08	21
11451800	2015-12-09	20
11451800	2015-12-10	25
11451800	2015-12-11	30
11451800	2015-12-12	35
11451800	2015-12-13	36
11451800	2015-12-14	54
11451800	2015-12-15	31
11451800	2015-12-16	18
11451800	2015-12-17	16
11451800	2015-12-18	16
11451800	2015-12-19	18
11451800	2015-12-20	21
11451800	2015-12-21	26
11451800	2015-12-22	255
11451800	2015-12-23	128
11451800	2015-12-24	39
11451800	2015-12-25	25
11451800	2015-12-26	19
11451800	2015-12-27	16
11451800	2015-12-28	15
11451800	2015-12-29	14
11451800	2015-12-30	14
11451800	2015-12-31	13
11451800	2016-01-01	13
11451800	2016-01-02	13
11451800	2016-01-03	13
11451800	2016-01-04	14
11451800	2016-01-05	132
11451800	2016-01-06	644
11451800	2016-01-07	433
11451800	2016-01-08	94
11451800	2016-01-09	48
11451800	2016-01-10	49
11451800	2016-01-11	42
11451800	2016-01-12	31
11451800	2016-01-13	112
11451800	2016-01-14	192
11451800	2016-01-15	209
11451800	2016-01-16	363
11451800	2016-01-17	487
11451800	2016-01-18	1818
11451800	2016-01-19	1402
11451800	2016-01-20	1036
11451800	2016-01-21	340
11451800	2016-01-22	240
11451800	2016-01-23	261
11451800	2016-01-24	227
11451800	2016-01-25	190
11451800	2016-01-26	163
11451800	2016-01-27	142
11451800	2016-01-28	129
11451800	2016-01-29	125
11451800	2016-01-30	141
11451800	2016-01-31	132
11451800	2016-02-01	122
11451800	2016-02-02	111
11451800	2016-02-03	105
11451800	2016-02-04	99
11451800	2016-02-05	92
11451800	2016-02-06	86
11451800	2016-02-07	81
11451800	2016-02-08	78
11451800	2016-02-09	74
11451800	2016-02-10	71
11451800	2016-02-11	69
11451800	2016-02-12	68
11451800	2016-02-13	65
11451800	2016-02-14	63
11451800	2016-02-15	62
11451800	2016-02-16	60
11451800	2016-02-17	61
11451800	2016-02-18	81
11451800	2016-02-19	85
11451800	2016-02-20	110
11451800	2016-02-21	104
11451800	2016-02-22	87
11451800	2016-02-23	79
11451800	2016-02-24	74
11451800	2016-02-25	70
11451800	2016-02-26	68
11451800	2016-02-27	65
11451800	2016-02-28	64
11451800	2016-02-29	62
11451800	2016-03-01	60
11451800	2016-03-02	59
11451800	2016-03-03	59
11451800	2016-03-04	60
11451800	2016-03-05	302
11451800	2016-03-06	2215
11451800	2016-03-07	3066
11451800	2016-03-08	785
11451800	2016-03-09	446
11451800	2016-03-10	1677
11451800	2016-03-11	4069
11451800	2016-03-12	3204
11451800	2016-03-13	2678
11451800	2016-03-14	2292
11451800	2016-03-15	1505
11451800	2016-03-16	3013
11451800	2016-03-17	3068
11451800	2016-03-18	2853
11451800	2016-03-19	753
11451800	2016-03-20	1085
11451800	2016-03-21	895
11451800	2016-03-22	883
11451800	2016-03-23	751
11451800	2016-03-24	665
11451800	2016-03-25	745
11451800	2016-03-26	864
11451800	2016-03-27	841
11451800	2016-03-28	869
11451800	2016-03-29	1001
11451800	2016-03-30	989
11451800	2016-03-31	949
11451800	2016-04-01	516
11451800	2016-04-02	482
11451800	2016-04-03	454
11451800	2016-04-04	407
11451800	2016-04-05	276
11451800	2016-04-06	184
11451800	2016-04-07	181
11451800	2016-04-08	180
11451800	2016-04-09	179
11451800	2016-04-10	149
11451800	2016-04-11	156
11451800	2016-04-12	189
11451800	2016-04-13	182
11451800	2016-04-14	187
11451800	2016-04-15	184
11451800	2016-04-16	170
11451800	2016-04-17	165
11451800	2016-04-18	153
11451800	2016-04-19	178
11451800	2016-04-20	255
11451800	2016-04-21	349
11451800	2016-04-22	376
11451800	2016-04-23	333
11451800	2016-04-24	316
11451800	2016-04-25	316
11451800	2016-04-26	343
11451800	2016-04-27	499
11451800	2016-04-28	543
11451800	2016-04-29	529
11451800	2016-04-30	585
11451800	2016-05-01	580
11451800	2016-05-02	606
11451800	2016-05-03	633
11451800	2016-05-04	665
11451800	2016-05-05	694
11451800	2016-05-06	732
11451800	2016-05-07	715
11451800	2016-05-08	669
11451800	2016-05-09	643
11451800	2016-05-10	602
11451800	2016-05-11	593
11451800	2016-05-12	589
11451800	2016-05-13	630
11451800	2016-05-14	692
11451800	2016-05-15	688
11451800	2016-05-16	690
11451800	2016-05-17	720
11451800	2016-05-18	715
11451800	2016-05-19	752
11451800	2016-05-20	791
11451800	2016-05-21	791
11451800	2016-05-22	797
11451800	2016-05-23	796
11451800	2016-05-24	788
11451800	2016-05-25	786
11451800	2016-05-26	742
11451800	2016-05-27	655
11451800	2016-05-28	644
11451800	2016-05-29	649
11451800	2016-05-30	685
11451800	2016-05-31	675
11451800	2016-06-01	703
11451800	2016-06-02	754
11451800	2016-06-03	754
11451800	2016-06-04	745
