Dates	Time	Flow	SSC			
10d	8s	6n	6n			
2015-12-19	13:50	18	103			
2015-12-22	12:52	209	556			
2015-12-23	12:40	97	293			
2016-01-05	21:00	466	279			
2016-01-06	15:10	484	439			
2016-01-07	9:00	496	411			
2016-01-08	10:50	93	77			
2016-01-13	9:50	37	20			
2016-01-17	23:00	971	443			
2016-01-18	10:50	1960	1290			
2016-01-19	16:45	2028	1720			
2016-01-20	14:40	889	229			
2016-02-18	8:30	83	5.0			
2016-03-06	7:05	3250	11580			
2016-03-07	6:20	6130	8600			
2016-03-11	14:03	3937	1383			
2016-03-17	12:20	3040	703			
2016-04-07	12:10	186	23			
2016-11-20	12:30	108	23			
2016-12-10	22:50	777	700			
2016-12-15	21:00	4600	1860			
2016-12-16	9:20	1810	531			
2017-01-04	9:00	2010	1270			
2017-01-08	12:05	17750	6835			
2017-01-09	9:30	3630	1190			
2017-01-10	20:37	18033	4160			
2017-01-11	12:20	7590	1340			
2017-01-14	13:00	3120	540			
2017-01-18	22:20	7930	2510			
2017-01-19	5:55	9018	1720			
2017-01-20	13:00	10200	1680			
2017-01-22	11:17	13613	2875			
2017-01-25	13:30	3965	440			
2017-02-07	12:10	18600	3150			
2017-02-09	21:50	11700	1820			
2017-02-20	16:00	11800	1900			
2017-03-15	14:40	3100	122			
2017-04-03	15:00	298	20			
2017-04-25	11:30	407	21			
2017-05-15	12:00	511	22			
