# ------------ GCLAS output --------------
#                                         
# site 11451800
# parmcode 80154
agency_cd	site_no	datetime	tz_cd	00_80154
5s	15s	20d	6s	14n
USGS	11451800	2014-10-28 08:00	USP	  26.00
USGS	11451800	2014-10-28 08:15	USP	  25.01
USGS	11451800	2014-10-28 08:30	USP	  25.04
USGS	11451800	2014-10-28 08:45	USP	  25.06
USGS	11451800	2014-10-28 09:00	USP	  25.08
USGS	11451800	2014-10-28 09:15	USP	  25.11
USGS	11451800	2014-10-28 09:30	USP	  25.13
USGS	11451800	2014-10-28 09:45	USP	  25.15
USGS	11451800	2014-10-28 10:00	USP	  25.17
USGS	11451800	2014-10-28 10:15	USP	  25.20
USGS	11451800	2014-10-28 10:30	USP	  25.22
USGS	11451800	2014-10-28 10:45	USP	  25.24
USGS	11451800	2014-10-28 11:00	USP	  25.27
USGS	11451800	2014-10-28 11:15	USP	  25.29
USGS	11451800	2014-10-28 11:30	USP	  25.31
USGS	11451800	2014-10-28 12:00	USP	  25.36
USGS	11451800	2014-10-28 12:30	USP	  25.41
USGS	11451800	2014-10-28 12:45	USP	  25.43
USGS	11451800	2014-10-28 13:00	USP	  25.45
USGS	11451800	2014-10-28 13:15	USP	  25.48
USGS	11451800	2014-11-03 07:30	USP	  38.32
USGS	11451800	2014-11-03 07:45	USP	  38.34
USGS	11451800	2014-11-03 23:15	USP	  30.89
USGS	11451800	2014-11-04 08:30	USP	  31.88
USGS	11451800	2014-11-04 08:45	USP	  31.91
USGS	11451800	2014-11-04 09:00	USP	  31.93
USGS	11451800	2014-11-04 09:15	USP	  31.96
USGS	11451800	2014-11-04 09:30	USP	  31.99
USGS	11451800	2014-11-04 09:45	USP	  32.01
USGS	11451800	2014-11-04 10:00	USP	  32.04
USGS	11451800	2014-11-04 10:15	USP	  32.07
USGS	11451800	2014-11-04 10:30	USP	  32.09
USGS	11451800	2014-11-04 10:45	USP	  32.12
USGS	11451800	2014-11-04 11:00	USP	  32.15
USGS	11451800	2014-11-04 11:15	USP	  32.17
USGS	11451800	2014-11-04 11:30	USP	  32.20
USGS	11451800	2014-11-04 11:45	USP	  32.23
USGS	11451800	2014-11-04 12:00	USP	  32.25
USGS	11451800	2014-11-04 12:15	USP	  32.28
USGS	11451800	2014-11-04 12:30	USP	  32.31
USGS	11451800	2014-11-04 12:45	USP	  32.33
USGS	11451800	2014-11-04 13:00	USP	  32.36
USGS	11451800	2014-11-04 13:15	USP	  32.39
USGS	11451800	2014-11-04 13:30	USP	  32.41
USGS	11451800	2014-11-04 13:45	USP	  32.44
USGS	11451800	2014-11-04 14:00	USP	  32.47
USGS	11451800	2014-11-04 14:15	USP	  32.49
USGS	11451800	2014-11-04 14:30	USP	  32.52
USGS	11451800	2014-11-04 14:45	USP	  32.55
USGS	11451800	2014-11-04 15:00	USP	  32.57
USGS	11451800	2014-11-04 15:15	USP	  32.60
USGS	11451800	2014-11-04 15:30	USP	  32.63
USGS	11451800	2014-11-04 15:45	USP	  32.65
USGS	11451800	2014-11-04 16:00	USP	  32.68
USGS	11451800	2014-11-04 16:15	USP	  32.71
USGS	11451800	2014-11-04 16:30	USP	  32.73
USGS	11451800	2014-11-04 16:45	USP	  32.76
USGS	11451800	2014-11-04 17:00	USP	  32.79
USGS	11451800	2014-11-04 17:15	USP	  32.81
USGS	11451800	2014-11-04 17:30	USP	  32.84
USGS	11451800	2014-11-04 17:45	USP	  32.87
USGS	11451800	2014-11-04 18:00	USP	  32.89
USGS	11451800	2014-11-04 18:15	USP	  32.92
USGS	11451800	2014-11-04 18:30	USP	  32.95
USGS	11451800	2014-11-04 18:45	USP	  32.97
USGS	11451800	2014-11-04 19:00	USP	  33.00
USGS	11451800	2014-11-04 19:15	USP	  33.03
USGS	11451800	2014-11-04 19:30	USP	  33.05
USGS	11451800	2014-11-04 19:45	USP	  33.08
USGS	11451800	2014-11-04 20:00	USP	  33.11
USGS	11451800	2014-11-04 20:15	USP	  33.13
USGS	11451800	2014-11-04 20:30	USP	  33.16
USGS	11451800	2014-11-04 20:45	USP	  33.19
