"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,0.00113088618536834,0.000175358884738628,0.000274561765519705,0.000687498484646419,0.0017566810132687
"WY 2011",171,0.00334690629463956,0.000559911819134288,0.000730416757275709,0.0021425462275836,0.00499057023200787
"WY 2012",138,0.000112197849951811,1.25945675268865e-05,2.3466473244281e-05,7.32074482596509e-05,0.000164747741300613
"WY 2013",165,0.000498250656129588,4.88798508887383e-05,0.000120725408873652,0.000303211378657763,0.000773345973723867
"WY 2014",91,5.69605912279036e-06,1.93845391006892e-06,5.02579756399518e-06,9.65263903307538e-07,1.88993990853595e-05
"WY 2015",314,0.000178805135621889,1.64727836310579e-05,9.7318568469102e-05,5.78696999385868e-05,0.000426212445742741
"WY 2016",214,0.000336480551979705,3.4130251726923e-05,0.000182235543382684,0.000109496454527376,0.000799489658894857
"WY 2017",216,0.00404110900623209,0.00052931127075798,0.00103266944535232,0.00239152057017145,0.00640994896420161
"WY 2018",213,1.67237304916564e-05,2.91190731454695e-06,9.35624916825742e-06,5.24816628542118e-06,4.0587817566991e-05
"WY 2019",212,0.00249597053483817,0.00038490253895526,0.000766040472494999,0.00132526018615986,0.0042961883976464
