"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,0.0863437387031667,0.0102407099533901,0.0292306741941336,0.0428825405625282,0.155976413706085
"WY 2011",171,0.365443313367494,0.0535095302321811,0.101043073497445,0.206912803720466,0.599596552283513
"WY 2012",138,0.0056935804010634,0.00078169477439462,0.00173321760933471,0.00303903944694113,0.00976215927684644
"WY 2013",165,0.0458869520932815,0.00534035240376091,0.0206816785036485,0.0180083683726798,0.0971825480318883
"WY 2014",91,0.000131546171607038,2.78068061709456e-05,9.82365781972131e-05,2.85860441385949e-05,0.000388617495222825
"WY 2015",314,0.0195954328992001,0.00225806726994841,0.0171065120743763,0.00337641848346277,0.0645390195599468
"WY 2016",214,0.0444137732063814,0.00528643525937842,0.0391223991209643,0.00754609344633355,0.147194080360648
"WY 2017",216,0.795166535948835,0.125676895578728,0.280090894723419,0.383662612413459,1.46612735186113
"WY 2018",213,0.00123088749163122,0.000178737114832794,0.000986085747985548,0.000241657027833776,0.00381873742711666
"WY 2019",212,0.575995895395017,0.0889716934574274,0.23138350220196,0.250436263116596,1.14069756325656
