Dates	Time	Flow	PpMeHg	RpMeHg
10d	8s	6n	6n	2s
2016-01-20	13:30	476	0.25	
2016-01-23	11:00	56	0.10	<
2016-01-24	8:40	55	0.10	<
2016-02-02	15:00	498	0.25	
2016-02-03	14:00	430	0.37	
2016-02-04	12:40	256	0.83	
2016-03-07	13:40	541	0.47	
2016-03-08	14:20	551	0.59	
2016-03-09	14:00	556	0.18	
2016-03-10	15:40	549	0.12	
2016-03-12	14:20	589	0.43	
2016-03-13	13:10	583	0.27	
2016-03-14	13:30	576	0.3	
2016-03-15	13:20	568	0.16	
2016-03-17	14:20	553	0.28	
2016-04-06	13:00	473	0.51	
2016-12-15	16:40	79	0.11	
2016-12-16	17:20	233	0.52	
2016-12-17	16:00	0.6	0.75	
2017-01-09	17:50	0.7	2.22	
2017-01-10	15:40	0.7	0.86	
2017-01-11	16:40	0.7	1.57	
2017-02-01	14:10	0.7	0.19	
2017-02-08	14:40	0.7	0.84	
2017-02-10	15:20	0.7	0.91	
2017-02-21	13:50	0.7	1.12	
2017-03-16	16:40	236	0.14	
2017-04-04	15:50	232	0.27	
2017-04-26	14:30	223	0.32	
