"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2016",366,1.45424038346034e-05,1.9106067012822e-06,1.06717052142512e-05,3.23874104372635e-06,4.2441950975955e-05
"2","WY 2017",365,8.92773871141952e-06,1.33211197432306e-06,3.85631317931782e-06,3.64351463684564e-06,1.84359677877479e-05
