Dates	Time	Flow	fTHg
10d	8s	6n	6n
2016-01-07	15:30	423	2.3
2016-01-08	12:40	152	6.7
2016-01-09	11:50	40	12
2016-01-18	14:05	920	7.0
2016-01-19	10:40	983	7.3
2016-01-20	13:05	1763	5.5
2016-03-06	16:40	3739	4.7
2016-03-07	17:10	3296	9.7
2016-03-11	16:50	4466	8.7
2016-03-12	13:00	3881	8.5
2016-03-13	11:40	4590	7.4
2016-03-17	11:40	2807	1.9
2016-04-07	12:00	253	1.1
2016-12-12	12:10	135	11
2016-12-16	15:50	2987	9.3
2016-12-17	14:10	761	8.6
2017-01-05	11:10	883	11
2017-01-08	16:20	3675	7.3
2017-01-09	15:20	12403	12
2017-01-11	14:30	15715	9.0
2017-01-14	14:00	3552	2.7
2017-01-19	13:30	8591	5.1
2017-01-20	15:10	6543	4.7
2017-01-21	13:40	6705	4.0
2017-01-24	13:10	4880	1.6
2017-02-02	12:40	3193	1.5
2017-02-08	12:40	8478	4.5
2017-02-10	13:10	10802	7.9
2017-02-21	12:20	14034	4.8
2017-03-16	13:20	2995	1.6
2017-04-04	13:40	543	1.5
2017-04-26	12:30	358	1.1
