"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2015",365,442936.081197209,183402.555450752,348368.304734589,89347.6192935001,1356641.94051592
"2","WY 2016",366,495050.281895495,211796.813512029,234606.53217471,185144.24928169,1080934.32900483
"3","WY 2017",365,3160060.23088855,732464.586318763,1030957.20581095,1610711.02023625,5603335.14658912
