Dates	Time	Flow	SSC
10d	8s	6n	6n
2016-01-07	15:30	423	468
2016-01-08	12:40	152	353
2016-01-09	11:50	40	130
2016-01-18	14:05	920	257
2016-01-19	10:40	983	689
2016-01-20	13:05	1763	1033
2016-03-06	16:40	3739	10400
2016-03-07	17:10	3296	2450
2016-03-11	16:50	4466	1660
2016-03-12	13:00	3881	1170
2016-03-13	11:40	4590	2680
2016-03-17	11:40	2807	718
2016-04-07	12:00	253	37
2016-12-12	12:10	135	86
2016-12-16	15:50	2987	1130
2016-12-17	14:10	761	223
2017-01-05	11:10	883	435
2017-01-08	16:20	3675	1350
2017-01-09	15:20	12403	1670
2017-01-11	14:30	15715	1830
2017-01-14	14:00	3552	694
2017-01-19	13:30	8591	2510
2017-01-20	15:10	6543	1800
2017-01-21	13:40	6705	928
2017-01-24	13:10	4880	708
2017-02-02	12:40	3193	438
2017-02-08	12:40	8478	1210
2017-02-10	13:10	10802	1200
2017-02-21	12:20	14034	1750
2017-03-16	13:20	2995	311
2017-04-04	13:40	543	34
2017-04-26	12:30	358	315

