Dates	Time	Flow	pTHg
10d	8s	6n	6n
2012-12-03	14:00	1900	228
2012-12-05	14:10	274	40.9
2012-12-23	11:00	1750	92.0
2012-12-24	12:40	7340	250
2012-12-27	14:00	960	21.1
2014-12-12	15:50	5362	739
2014-12-13	10:00	3030	241
2014-12-15	11:00	912	184
2014-12-16	17:50	2524	36.0
2014-12-20	15:00	2097	25.8
2015-02-09	14:00	1171	131
2015-02-10	13:30	1228	81.8
2016-01-24	10:30	65.4	9.6
2016-03-10	16:10	113	22.4
2016-03-12	14:10	3847	88.2
2016-03-13	12:40	3182	62.6
2016-03-14	13:00	2600	68.8
2016-03-15	12:40	2097	44.6
2016-03-17	13:40	2281	24.9
2017-01-05	15:00	226	25.0
2017-01-09	17:20	12769	387
2017-01-10	15:00	3596	175
2017-01-11	16:00	13730	216
2017-01-14	15:30	3891	45.3
2017-01-19	12:20	6693	50.3
2017-01-20	10:00	6730	149
2017-01-21	8:40	10265	283
2017-01-23	12:30	9684	194
2017-01-26	12:00	3503	15.0
2017-02-01	13:30	3118	9.0
2017-02-08	13:50	11260	268
2017-02-10	14:50	11504	196
2017-02-21	13:20	13344	236
2017-03-16	16:20	2706	3.9
2017-04-04	14:40	27.1	18.8
2019-01-17	13:45	6401	126
2019-01-18	13:40	5438	120
2019-02-05	16:20	953	47.1
2019-02-14	15:20	13730	348
2019-02-15	13:17	11138	473
2019-02-27	15:30	17390	181
2019-02-28	14:20	11586	224
2019-03-01	9:30	6549	46.1
2019-03-05	13:40	4471	23.6
2019-03-07	12:20	8195	63.5
2019-03-28	12:00	4244	10.1
2019-04-17	13:10	177	2.5
