Dates	Time	Flow	SSC
10d	8s	6n	6n
2014-12-03	12:20	56	47
2014-12-08	9:04	55	36
2014-12-11	14:59	13401	5840
2014-12-12	0:50	5330	2970
2014-12-14	13:00	369	41
2014-12-18	14:17	762	139
2014-12-31	14:10	125	6
2015-02-07	12:07	2254	1410
2015-02-09	14:25	1259	436
2015-05-06	16:02	388	62
2015-05-22	11:04	416	67
2015-06-01	10:42	376	38
