Dates	Flow	SSC
10d	6n	6n
2016-12-17	184.00	194.00
2016-12-21	0.58	74.00
2016-12-27	0.56	19.00
2016-12-29	0.63	16.00
2017-01-02	0.59	18.00
2017-01-06	353.73	183.00
2017-01-09	10700.75	1560.00
2017-01-10	4890.75	514.75
2017-01-11	10900.75	1590.00
2017-01-23	9830.74	728.00
2017-01-26	3850.73	177.00
2017-01-30	3280.73	145.00
2017-02-01	3040.73	92.00
2017-02-02	3090.73	104.00
2017-02-06	4730.73	161.00
2017-02-08	11600.72	723.50
2017-02-10	10300.72	917.00
2017-02-21	12500.71	962.00
2017-03-02	4780.71	147.00
2017-03-06	4310.70	131.00
2017-03-09	3978.60	107.00
2017-03-13	3096.00	72.00
2017-03-16	2886.00	56.00
2017-03-20	2686.00	44.00
2017-03-23	2020.00	49.00
2017-03-27	1349.00	28.00
2017-03-29	1112.00	31.00
2017-04-03	319.50	22.00
2017-04-04	259.10	20.00
2017-04-05	233.26	14.00
2017-04-10	864.00	35.00
2017-04-13	692.00	29.00
2017-04-17	781.00	21.00
2017-04-20	768.00	20.00
2017-04-24	313.70	15.00
2017-04-26	223.01	16.50
2017-04-27	218.00	20.00
2017-05-01	175.00	98.00
2017-05-04	166.00	219.00
2018-01-10	21.30	21.00
2018-01-16	29.80	14.00
2018-01-19	18.40	9.00
2018-01-23	17.20	12.00
2018-01-26	20.90	14.00
2018-02-05	8.32	63.00
2018-03-22	54.90	15.00
2018-03-23	175.00	156.00
2018-03-25	196.00	52.00
2018-04-08	319.00	57.00
2018-04-09	363.00	74.00
2018-04-10	230.00	41.00
2018-04-16	11.50	30.00
2019-01-29	575.04	30.00
2019-01-30	558.00	62.00
2019-01-31	529.00	113.00
2019-02-03	506.00	242.00
2019-02-04	557.01	156.00
2019-02-05	1309.00	361.00
2019-02-12	488.00	33.00
2019-02-14	12320.00	1275.00
2019-02-20	2703.00	241.00
2019-02-21	2851.00	151.00
2019-02-27	15368.00	1460.00
2019-02-28	13847.00	856.00
2019-03-01	7231.00	357.50
2019-03-05	5347.00	270.00
2019-03-06	6277.00	187.00
2019-03-07	8831.00	525.00
2019-03-12	5359.00	161.00
2019-03-14	4369.00	164.00
2019-03-20	3707.00	77.00
2019-03-22	3625.00	69.00
2019-03-25	3320.00	83.00
2019-03-28	4678.00	200.00
2019-03-29	4575.00	148.00
2019-04-04	3242.00	68.00
2019-04-05	3176.00	64.00
2019-04-09	2843.00	51.00
2019-04-11	2309.00	56.00
2019-04-16	1041.00	23.00
2019-04-17	929.00	11.00
2019-04-18	792.10	13.00
2019-04-19	712.10	28.00
2019-04-23	664.00	56.00
2019-04-26	357.00	177.00
2019-04-29	183.00	223.00
2019-04-30	142.00	243.00
2019-05-01	142.00	280.00
