"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,354066.458214685,48827.9362784293,237427.997618478,89071.9263942433,970866.378012026
"WY 2011",171,1416063.88278677,225094.928855693,719965.936453588,493172.166403019,3230832.14492887
"WY 2012",138,22092.6270356109,2703.40983992246,12529.4643458582,6826.15127203101,54101.0360849502
"WY 2013",165,188202.466568995,25413.2839005806,168918.280224658,31045.6598472673,631881.537734663
"WY 2014",91,250.80658740727,45.4464335632835,339.666138583325,20.1527320205802,1101.35273788376
"WY 2015",314,82392.3254742653,11003.2634460696,145579.901451213,3938.2437608513,418182.30337639
"WY 2016",214,183843.855738976,25482.9490132324,325155.442489147,8770.17690683571,933549.308228826
"WY 2017",216,3006202.07152807,498983.889456376,1753700.56921627,898947.115408065,7500616.83329921
"WY 2018",213,4464.6745573961,555.424831149202,7719.34061676673,222.878016278834,22418.5346655464
"WY 2019",212,2192686.32690233,357957.795507476,1507508.84925445,533738.837146051,6116683.15446175
