,Period,Ndays,Flux,Std.Err,SEP,L95,U95,,% std err of flux
1,WY 2017,365,0.003988191,0.000568302,0.000797057,0.002653474,0.005764053,,14.24961903
2,WY 2018,365,2.34E-05,6.69E-06,1.13E-05,8.61E-06,5.16E-05,,28.60243825
