Dates	Time	Flow	SSC
10d	8s	6n	6n
2016-01-24	10:30	65.4	45
2016-03-10	16:10	113	108
2016-03-12	14:10	3847	378
2016-03-13	12:40	3182	300
2016-03-14	13:00	2600	342
2016-03-15	12:40	2097	212
2016-03-17	13:40	2281	142
2017-01-05	15:00	226	152
2017-01-09	17:20	12769	1520
2017-01-10	15:00	3596	562
2017-01-11	16:00	13730	968
2017-01-14	15:30	3891	224
2017-01-19	12:20	6693	360
2017-01-20	10:00	6730	530
2017-01-21	8:40	10265	992
2017-01-23	12:30	9684	704
2017-01-26	12:00	3503	67
2017-02-01	13:30	3118	38
2017-02-08	13:50	11260	356
2017-02-10	14:50	11504	714
2017-02-21	13:20	13344	670
2017-03-16	16:20	2706	16
2017-04-04	14:40	27.1	54
