Dates	Time	Flow	wwTHg
10d	8s	6n	6n
2015-12-19	13:50	18	11.3
2015-12-22	12:52	252	69.7
2015-12-23	12:40	179	40.7
2016-01-05	21:00	451	34.4
2016-01-06	15:10	450	178
2016-01-07	9:00	448	214
2016-01-08	10:50	171	33.8
2016-01-13	9:50	103	9.0
2016-01-17	23:00	633	64.0
2016-01-18	10:50	1446	289
2016-01-19	16:45	1507	170
2016-01-20	14:40	615	52.5
2016-02-18	8:30	81	5.4
2016-03-06	7:05	3225	2086
2016-03-07	6:20	6257	1746
2016-03-11	14:03	3772	244
2016-03-17	12:20	3022	78.2
2016-04-07	12:10	361	4.8
2016-11-20	12:30	107	4.3
2016-12-10	22:50	796	332
2016-12-15	21:00	4604	610
2016-12-16	9:20	1794	145
2017-01-04	9:00	1947	215
2017-01-08	12:05	15813	1421
2017-01-09	9:30	3736	339
2017-01-10	20:37	16154	1123
2017-01-11	12:20	6933	222
2017-01-14	13:00	3260	75.9
2017-01-18	22:20	7610	429
2017-01-19	5:55	8329	628
2017-01-20	13:00	9655	1459
2017-01-22	11:17	12549	839
2017-01-25	13:30	4288	53.2
2017-02-07	12:10	16624	1367
2017-02-09	21:50	12016	741
2017-02-20	16:00	11132	831
2017-03-15	14:40	3143	15.6
2017-04-03	15:00	715	4.7
2017-04-25	11:30	419	7.6
2017-05-15	12:00	509	4.0
