"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2015",365,808785.327221175,369712.91890873,808229.556374142,111978.346188381,2922812.22913408
"2","WY 2016",366,594594.216908173,147743.21901794,254764.618130046,244431.592399214,1222037.75404636
"3","WY 2017",365,6504635.51851824,2200573.28984927,2951970.72259641,2536244.91417969,13833199.7148158
