Dates	Time	Flow	wwTHg
10d	8s	6n	6n
2016-12-11	15:00	422	41.3
2016-12-16	12:40	3149	247
2016-12-17	11:40	780	49.8
2017-01-04	16:40	2125	172
2017-01-08	14:30	3804	301
2017-01-09	13:30	12186	579
2017-01-11	12:00	15909	604
2017-01-14	12:10	3549	675
2017-01-19	12:30	8944	505
2017-01-20	13:30	6681	355
2017-01-21	11:40	6705	373
2017-01-24	11:00	4889	310
2017-02-02	10:30	3191	102
2017-02-08	10:30	8559	431
2017-02-10	11:10	10802	360
2017-02-21	11:00	14070	543
2017-03-16	10:50	3001	77.0
2017-04-04	10:30	553	65.7
2017-04-26	10:30	358	28.6
2018-01-09	15:40	82	34.3
2018-01-10	9:20	41	12.9
2018-01-25	15:00	29	4.9
2018-02-12	13:30	9.4	1.3
2018-03-07	13:00	23	2.5
2018-03-23	10:55	930	73.3
2018-04-07	16:40	649	39.6
2018-04-08	11:00	752	84.0
