Dates	Time	Flow	pMeHg
10d	8s	6n	6n
2016-01-07	15:30	423	0.53
2016-01-08	12:40	152	0.34
2016-01-09	11:50	40	0.29
2016-01-18	14:05	920	0.29
2016-01-19	10:40	983	0.84
2016-01-20	13:05	1763	1.03
2016-03-06	16:40	3739	9.47
2016-03-07	17:10	3296	2.22
2016-03-11	16:50	4466	1.09
2016-03-12	13:00	3881	1.10
2016-03-13	11:40	4590	1.72
2016-03-17	11:40	2807	0.67
2016-04-07	12:00	253	0.52
2016-12-12	12:10	135	0.46
2016-12-16	15:50	2987	2.96
2016-12-17	14:10	761	0.65
2017-01-05	11:10	883	0.83
2017-01-08	16:20	3675	1.69
2017-01-09	15:20	12403	1.92
2017-01-11	14:30	15715	1.71
2017-01-14	14:00	3552	0.71
2017-01-19	13:30	8591	1.68
2017-01-20	15:10	6543	1.28
2017-01-21	13:40	6705	0.88
2017-01-24	13:10	4880	0.61
2017-02-02	12:40	3193	0.42
2017-02-08	12:40	8478	1.09
2017-02-10	13:10	10802	1.52
2017-02-21	12:20	14034	1.70
2017-03-16	13:20	2995	0.35
2017-04-04	13:40	543	0.14
2017-04-26	12:30	358	1.63
