"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2016",366,123113.461314088,37681.6602590876,271675.743080629,3746.29073305427,689292.087612511
"2","WY 2017",365,1115425.0217061,323782.950286149,991635.397617764,186790.43370961,3720373.20615819
