"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2016",366,844338.839653751,186868.844030954,277003.938710512,428710.601612983,1501322.91734285
"2","WY 2017",365,5948874.49982769,1427828.04849492,1873712.01348504,3105292.49545744,10367837.4275376
"3","WY 2018",365,50603.3737443613,17131.3023290556,18006.0181200422,24231.9070411199,93798.6965333507
