Dates	Flow	pTHg	
10d	6n	6n	
2010-12-30	479.000	44.600	
2011-01-04	579.000	7.000	
2011-02-28	65.200	8.670	
2011-03-15	985.000	3.388	
2011-03-17	1750.000	6.220	
2011-03-19	4210.000	68.300	
2011-03-21	11300.000	193.000	
2011-03-22	6060.000	49.550	
2011-03-25	9380.000	215.000	
2011-04-04	3650.000	12.800	
2012-12-03	960.000	228.000	
2012-12-05	358.000	40.900	
2012-12-23	2100.000	92.000	
2012-12-24	5020.000	250.000	
2012-12-27	1060.000	21.100	
2014-12-12	0.001	739.000	
2014-12-13	4300.000	241.000	
2014-12-15	912.000	184.000	
2014-12-16	1470.000	36.000	
2014-12-20	1350.000	25.750
2015-02-09	226.000	131.000	
2015-02-10	1540.000	81.800	
