Dates	Time	Flow	wwMeHg
10d	8s	6n	6n
2016-01-07	15:30	423	0.57
2016-01-08	12:40	152	0.39
2016-01-09	11:50	40	0.35
2016-01-18	14:05	920	0.34
2016-01-19	10:40	983	0.90
2016-01-20	13:05	1763	1.07
2016-03-06	16:40	3739	9.51
2016-03-07	17:10	3296	2.34
2016-03-11	16:50	4466	1.16
2016-03-12	13:00	3881	1.16
2016-03-13	11:40	4590	1.79
2016-03-17	11:40	2807	0.72
2016-04-07	12:00	253	0.57
2016-12-12	12:10	135	0.52
2016-12-16	15:50	2987	3.03
2016-12-17	14:10	761	0.74
2017-01-05	11:10	883	0.91
2017-01-08	16:20	3675	1.77
2017-01-09	15:20	12403	1.96
2017-01-11	14:30	15715	1.75
2017-01-14	14:00	3552	0.74
2017-01-19	13:30	8591	1.72
2017-01-20	15:10	6543	1.30
2017-01-21	13:40	6705	0.91
2017-01-24	13:10	4880	0.62
2017-02-02	12:40	3193	0.44
2017-02-08	12:40	8478	1.12
2017-02-10	13:10	10802	1.57
2017-02-21	12:20	14034	1.73
2017-03-16	13:20	2995	0.37
2017-04-04	13:40	543	0.19
2017-04-26	12:30	358	1.74
