,Period,Ndays,Flux,Std.Err,SEP,L95,U95,,Load (kg/yr),Load (tons/yr),Load (10^6 kg/yr),SE 10^6 kg/yr
1,WY 2016,366,91493.48648,19171.02652,92100.95999,12513.03224,332280.0801,,33486616,36902,33.5,7
2,WY 2017,365,835119.8656,164043.3519,241561.3773,460269.5669,1398264.321,,304818751,335910,304.8,59.9
