Dates	Time	Flow	fTHg
10d	8s	6n	6n
2016-01-20	13:30	476	8.71
2016-01-23	11:00	57.7	6.32
2016-01-24	8:40	114	4.67
2016-02-02	15:00	498	4.39
2016-02-03	14:00	430	6.59
2016-02-04	12:40	256	7.48
2016-03-07	13:40	541	7.10
2016-03-08	14:20	551	10.6
2016-03-09	14:00	856	9.76
2016-03-10	15:40	654	8.45
2016-03-12	14:20	4465	8.50
2016-03-13	13:10	3732	9.08
2016-03-14	13:30	3176	6.15
2016-03-15	13:20	2598	6.48
2016-03-17	14:20	2858	2.81
2016-04-06	13:00	473	2.83
2016-12-15	16:40	79.2	5.94
2016-12-16	17:20	233	3.59
2017-01-09	17:50	12332	10.4
2017-01-10	15:40	3859	6.85
2017-01-11	16:40	13770	8.35
2017-02-01	14:10	3031	1.31
2017-02-08	14:40	10858	6.37
2017-02-10	15:20	11505	6.08
2017-02-21	13:50	13499	5.25
2017-03-16	16:40	2942	1.65
2017-04-04	15:50	259	1.74
2017-04-26	14:30	223	2.05
2018-03-22	10:30	86.2	1.26
2018-04-08	12:50	350	2.32
