Dates	Time	Flow	fTHg
10d	8s	6n	6n
2012-12-03	12:40	1900	9.62
2012-12-05	13:40	274	10.0
2012-12-23	10:10	1750	5.83
2012-12-24	11:50	7340	10.4
2012-12-27	13:20	960	10.6
2014-12-12	14:20	3702	22.0
2014-12-13	9:50	3030	17.7
2014-12-15	11:30	960	10.6
2014-12-16	17:00	2450	12.1
2014-12-20	14:30	2030	12.1
2015-02-09	13:40	1153	7.94
2015-02-10	13:10	1228	10.8
2016-03-10	17:00	134	7.64
2016-03-12	12:20	3557	7.21
2016-03-13	11:30	2941	8.77
2016-03-14	12:10	2655	9.04
2016-03-15	11:40	2120	8.20
2016-03-17	13:10	2258	5.73
2017-01-05	14:30	184	3.09
2017-01-09	17:40	12370	6.89
2017-01-10	14:00	3891	6.12
2017-01-11	16:00	13730	6.08
2017-01-14	15:40	3891	7.86
2017-01-19	12:40	6767	2.72
2017-01-20	11:30	6730	2.90
2017-01-21	10:10	9953	4.93
2017-01-23	11:20	10109	4.59
2017-01-26	11:00	3403	3.50
2017-02-01	12:30	3030	1.91
2017-02-08	13:50	11260	4.74
2017-02-10	14:40	11504	3.95
2017-02-21	13:30	13498	3.37
2017-03-16	14:40	2707	1.70
2017-04-04	15:20	28.4	1.87
2019-01-17	14:50	7965	6.96
2019-01-18	12:00	5744	6.50
2019-02-05	14:20	1068	6.79
2019-02-14	14:10	13575	7.81
2019-02-15	13:17	11138	11.8
2019-02-27	14:20	15929	6.12
2019-02-28	13:50	11842	7.43
2019-03-01	8:30	6789	5.85
2019-03-05	13:50	4471	2.33
2019-03-07	12:50	8151	2.20
2019-03-28	12:40	4244	1.98
2019-04-17	13:30	177	1.33
