"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,355380.707180597,47747.7397619791,222458.475859986,97599.4127804902,929716.989726679
"WY 2011",171,1110466.27828139,174312.972756193,503268.051116155,433546.003261019,2359644.07614018
"WY 2012",138,19044.0761457266,2583.91933384264,10009.1504509288,6403.24792277365,44380.2490932129
"WY 2013",165,375560.624865628,92678.7022282136,333938.77379445,62874.6972550817,1252789.80303213
"WY 2014",91,189.716897644335,34.7423049444972,229.425670923394,18.8094535741295,777.094425979063
"WY 2015",314,172732.655158287,44920.5124813919,343717.795210971,6493.62812038426,926428.232971183
"WY 2016",214,130453.599594521,18460.1416598885,205844.687900088,7805.89270211921,624722.388085636
"WY 2017",216,2590946.29864042,423532.454617953,1454952.95430627,809638.479431211,6303578.59814371
"WY 2018",213,3715.71263576655,478.443494037887,5884.14484476405,220.773971113156,17828.2616792532
"WY 2019",212,1640240.85860335,253411.530116365,1006443.12218374,461681.636850483,4233474.1925412
