Dates	Flow	SSC
10d	6n	6n
2010-01-21	7215.00	1260.00
2010-01-22	3931.80	544.81
2010-01-25	434.00	151.00
2010-01-26	2097.50	978.71
2010-01-27	5374.00	690.50
2010-02-02	287.00	24.00
2010-02-03	261.00	14.00
2010-02-05	472.71	62.40
2010-02-08	513.00	48.00
2010-02-12	379.00	49.00
2010-02-17	344.00	34.94
2010-02-19	272.00	93.00
2010-02-24	159.00	40.00
2010-02-26	307.00	19.00
2010-03-02	361.00	86.00
2010-03-05	383.00	104.00
2010-03-08	381.67	80.00
2010-03-09	377.00	14.00
2010-03-11	374.00	13.00
2010-03-15	363.00	15.00
2010-03-19	233.40	23.00
2010-03-30	105.00	48.00
2010-04-02	126.00	29.00
2010-04-06	314.00	28.00
2010-04-07	361.00	34.00
2010-04-08	312.00	27.00
2010-04-12	235.00	28.00
2010-04-13	663.83	26.84
2010-04-14	473.00	156.67
2010-04-15	1740.50	192.85
2010-04-22	762.00	37.00
2010-04-23	566.70	16.00
2010-04-27	467.00	13.00
2010-04-30	397.00	34.00
2010-05-04	438.00	18.00
2010-06-01	17.00	68.00
2010-12-23	453.19	69.57
2010-12-30	647.00	253.62
2011-01-04	786.00	65.46
2011-01-07	202.20	16.00
2011-01-14	113.40	12.00
2011-01-19	45.50	10.00
2011-01-21	47.60	15.00
2011-01-26	52.10	9.99
2011-01-27	52.70	10.00
2011-01-28	52.10	14.00
2011-01-31	124.00	10.00
2011-02-03	119.50	105.89
2011-02-08	27.50	27.00
2011-02-11	19.10	24.00
2011-02-17	342.00	275.00
2011-02-18	464.00	193.00
2011-02-19	619.00	179.00
2011-02-24	502.00	13.00
2011-02-28	544.20	31.00
2011-03-01	492.90	16.00
2011-03-04	722.00	27.00
2011-03-07	600.70	14.00
2011-03-10	1016.33	39.00
2011-03-15	1567.00	31.00
2011-03-16	1755.00	39.00
2011-03-17	2253.00	131.70
2011-03-19	4847.00	434.00
2011-03-21	12001.00	774.00
2011-03-22	6320.50	298.50
2011-03-25	9847.00	1389.60
2011-03-28	6694.50	525.64
2011-04-04	4117.00	132.00
2011-04-06	3541.00	186.00
2011-04-08	2924.00	180.00
2011-04-13	2512.00	90.00
2011-04-18	516.00	21.00
2011-04-22	363.00	21.00
2011-04-25	281.00	191.00
2011-04-26	133.00	61.02
2011-04-28	49.80	494.00
2011-05-06	15.70	310.00
2011-05-09	13.20	325.00
2011-05-11	12.40	322.00
2011-05-12	10.30	306.00
2011-05-16	9.39	413.00
2011-05-18	42.40	290.00
2011-05-20	17.20	216.00
2011-05-24	7.06	188.00
2011-06-03	4.23	185.00
2012-01-26	11.00	26.00
2012-03-16	191.00	24.00
2012-03-17	181.67	26.38
2012-03-18	166.00	32.00
2012-03-20	155.00	12.00
2012-03-23	60.60	46.00
2012-03-26	53.90	27.00
2012-03-28	180.00	18.00
2012-03-29	153.00	198.55
2012-04-03	320.00	27.00
2012-04-04	312.00	41.00
2012-04-05	307.00	19.00
2012-04-12	128.00	51.00
2012-04-13	207.00	69.00
2012-04-26	113.00	70.00
2012-12-02	312.00	182.00
2012-12-03	1177.95	1100.00
2012-12-05	605.00	74.00
2012-12-07	566.00	61.67
2012-12-17	176.00	34.00
2012-12-19	178.00	48.00
2012-12-22	184.00	368.00
2012-12-23	2350.00	407.00
2012-12-24	5388.67	1960.63
2012-12-27	1498.00	139.00
2012-12-28	938.00	79.00
2013-01-02	1289.00	55.00
2013-01-04	1279.00	44.00
2013-01-10	312.00	20.00
2013-01-11	272.00	24.00
2013-01-15	190.10	22.00
2013-01-16	190.00	20.00
2013-01-18	170.90	18.00
2013-01-22	169.00	24.00
2013-01-23	166.00	14.00
2013-01-29	128.00	13.00
2013-02-04	170.00	114.00
2013-02-05	121.00	91.00
2013-02-08	106.00	57.00
2013-02-12	89.20	62.00
2013-02-15	85.10	63.00
2013-02-19	71.40	53.00
2013-02-21	71.40	48.50
2013-02-26	29.10	35.00
2013-02-27	26.10	92.00
2013-03-06	22.70	76.00
2013-03-08	35.80	89.00
2013-03-11	35.30	53.00
2013-03-13	30.30	46.00
2013-03-19	12.40	69.00
2013-04-01	19.70	25.00
2014-03-06	10.60	35.00
2014-04-07	9.39	8.00
2014-12-13	3908.10	562.00
2014-12-20	1298.35	122.00
2014-12-22	1294.46	81.00
2014-12-24	822.81	40.00
2014-12-31	230.70	59.00
2015-01-16	28.30	6.00
2015-01-27	82.70	74.00
2015-01-29	104.00	158.00
2015-02-08	544.00	715.00
2015-02-09	724.00	291.00
2015-02-10	1883.00	249.00
2015-02-19	113.00	48.00
2016-01-20	80.50	172.00
2016-01-22	56.10	97.00
2016-01-23	56.10	55.00
2016-01-24	82.70	27.00
2016-01-26	353.80	54.00
2016-01-28	278.70	21.00
2016-02-02	507.00	91.13
2016-02-03	455.00	76.00
2016-02-04	361.00	201.87
2016-02-12	0.18	0.001
2016-03-04	0.001	0.001
2016-03-07	533.00	998.00
2016-03-08	557.00	825.00
2016-03-09	783.00	253.00
2016-03-10	803.00	132.19
2016-03-11	698.00	109.00
2016-03-12	4185.00	537.00
2016-03-13	3527.00	330.00
2016-03-14	3620.00	365.00
2016-03-15	2880.00	245.00
2016-03-17	2670.00	217.00
2016-03-24	722.00	60.00
2016-03-31	619.00	37.00
2016-04-01	622.00	29.00
2016-04-05	480.00	38.00
2016-04-06	470.00	23.00
